Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108808, Москва г, п. Первомайское, д. Милюково, ул. Родниковая, д. 1",f8a1c3cc-93e0-40c9-8664-bd7f82cdcc17,3c6ce024-75f8-43dc-91e7-1bfaa236b1e3,45955000,Не выбран,,,,Жилой,Исправный,410.7,,-,-,-,,,,,77:18:0180501:63,b2a8810c-eefd-4a4e-8821-4bf4cbb402ad,,,37.3805805,55.63926679999999,61,POINT (37.3805805 55.63926679999999)
"108808, Москва г, п. Первомайское, д. Милюково, ул. Родниковая, д. 23",c577ae2b-eff4-4b77-b825-4af61f711f84,65b2096b-180b-4ccf-b582-769546ad37e0,45955000,Не выбран,,,,Жилой,Исправный,352.8,,-,-,-,,,,,77:18:0180501:67,49205a15-33dd-4fe5-8708-4211ef874f0e,,,37.387609,55.6342484,61,POINT (37.387609 55.6342484)
"108808, Москва г, п. Первомайское, д. Милюково, ул. Родниковая, д. 3",a88cb005-6fc1-4783-80ea-5c296a39ec79,a7fe4892-a966-45da-be9e-af32e941e147,45955000,Не выбран,,,,Жилой,Исправный,263.9,,-,-,-,,,,,77:18:0180501:68,200dccce-b55d-4941-9c0b-d2926d8987a5,,,37.38139,55.63644,61,POINT (37.38139 55.63644)
"108808, Москва г, п. Первомайское, д. Милюково, ул. Родниковая, д. 6",84221ba7-31ca-4964-b642-13d458579d7e,8a0c5283-3102-419c-a807-7078dd37a801,45955000,Не выбран,,,,Жилой,Исправный,362.3,,-,-,-,,,,,77:18:0180501:69,5630aa32-89fb-4622-8c10-db6b4f083003,,,37.3804278,55.63848369999999,61,POINT (37.3804278 55.63848369999999)
"108808, Москва г, п. Первомайское, д. Милюково, ул. Родниковая, д. 8",e3372344-ffc5-43f8-b935-19edb109bb4b,5cc05279-0d2a-4437-a1d3-fa790246a6f5,45955000,Не выбран,,,,Жилой,Исправный,301.6,,-,-,-,,,,,77:18:0180501:70,faff33fb-120e-4675-86cb-7c941e5e4f2e,,,37.3809792,55.63808479999999,61,POINT (37.3809792 55.63808479999999)
"108811, Москва г, п. Московский, д. Румянцево, ул. Центральная, д. 10",08eff940-5174-41cc-89f2-67d905941d91,08eff940-5174-41cc-89f2-67d905941d91,45952000,Не выбран,,,,Жилой,,64.2,,-,-,-,,,,,50:21:0110501:1167,9f5381e5-2290-45c5-804e-9c345b9cf920,,,37.4159975,55.6373155,61,POINT (37.4159975 55.6373155)
"108811, Москва г, п. Московский, д. Румянцево, ул. Центральная, д. 12",279036bc-fed1-4ad3-a19a-da5a1a661d45,17f1e09c-9940-4605-9a8c-c375406f8979,45952000,Не выбран,,,,Жилой,Исправный,74.9,,-,-,-,,,,,50:21:0110501:941,f7563010-b252-4a4b-964e-bad98dc69ea1,,,37.4159887,55.6370652,61,POINT (37.4159887 55.6370652)
"108811, Москва г, п. Московский, д. Румянцево, ул. Центральная, д. 12А",02e89b6d-9df7-490f-a36d-73dabecf5132,4bd47202-2261-434c-ad0f-52c2c86a3136,45952000,Не выбран,,,,Жилой,Исправный,124.8,,-,-,-,,,,,77:17:0110501:350,09c937fa-05d3-4a05-91ec-ad247198c518,,,37.4159887,55.6370652,61,POINT (37.4159887 55.6370652)
"108811, Москва г, п. Московский, д. Румянцево, ул. Центральная, д. 4",143a2310-ba16-46c7-9ed1-e2a01bb31dc4,d145ace6-ba02-4be0-88dc-bd86bb37195c,45952000,Не выбран,,,,Жилой,Исправный,248.5,,-,-,-,,,,,77:17:0110205:2948,8363905f-7a2a-429d-927d-6bb3748dfde0,,,37.41598219999999,55.6379797,61,POINT (37.41598219999999 55.6379797)
"108811, Москва г, п. Московский, д. Румянцево, ул. Центральная, д. 6",90a88a21-fa81-4219-9f41-aee114a0bd96,de0031a1-081c-44a6-b8fc-833c15dda1e5,45952000,Не выбран,,,,Жилой,Исправный,124.6,,-,-,-,,,,,50:21:0110501:914,521d0c9b-ec72-4c14-90d2-6766f23328dc,,,37.4160259,55.6377614,61,POINT (37.4160259 55.6377614)
"108811, Москва г, п. Московский, д. Румянцево, ул. Центральная, д. 8",2b5dd15e-9019-4295-93ac-f08fdf2b80f0,2b5dd15e-9019-4295-93ac-f08fdf2b80f0,45952000,Не выбран,,,,Жилой,Исправный,99.5,,-,-,-,,,,,50:21:0110501:1181,8f1c82e0-95b8-4b5f-8733-798c1171ff5a,,,37.416034,55.6375349,61,POINT (37.416034 55.6375349)
"108825, Москва г, п. Щаповское, с. Ознобишино, ул. Родниковая, д. 2",7582f75d-4e22-46ab-a11a-43e9eb9bf09f,460a9d67-0629-430f-8907-705872ba7165,45961000,Не выбран,,,,Жилой,Исправный,429.4,,-,-,-,,,,,,7b2596dc-9f90-4f60-9315-47c21aa31e05,,,37.3801247,55.6395621,61,POINT (37.3801247 55.6395621)
"108825, Москва г, п. Щаповское, с. Ознобишино, ул. Родниковая, д. 3",28539b4f-66ba-407a-9fcf-0b6202b60b2b,db58387d-b270-467c-9fb5-541528c89d15,45961000,Не выбран,,,,Жилой,Исправный,245.7,,-,-,-,,,,,,fcc2d978-ca4e-4478-9f86-c3c74f469469,,,37.38139,55.63644,61,POINT (37.38139 55.63644)
"108825, Москва г, п. Щаповское, с. Ознобишино, ул. Родниковая, д. 4",a58b5aec-1b19-41e7-b7dc-d7a754585015,792355f0-f418-4913-b14f-e0eb2bead5aa,45961000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,ad8401f8-befe-4443-903b-b431742af463,,,37.379056,55.63835899999999,61,POINT (37.379056 55.63835899999999)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 10",11998660-1acb-4f46-836c-666ba60f7104,c8ab0a44-2de1-4f2f-b16a-b82d7a399935,45948000,Не выбран,,,,Жилой,Исправный,186.9,,-,-,-,,,,,,4eafa84e-9bd7-4f07-a1d0-affb67c0808f,,,37.4177492,55.66712279999999,61,POINT (37.4177492 55.66712279999999)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 11",ee07ca51-7554-4077-a599-521a8c62b2da,c5ca211a-7f91-42ba-9f9b-a7507f85f06f,45948000,Не выбран,,,,Жилой,Исправный,76.3,,-,-,-,,,,,,a5f5868e-81ed-442a-a278-5717c5bfb22a,,,37.4169134,55.66714709999999,61,POINT (37.4169134 55.66714709999999)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 12",3244f16a-5ef7-4d0d-ae58-aa6552d74bce,6fa93e8f-9f15-4fdc-a2c4-8b62f0b18778,45948000,Не выбран,,,,Жилой,Исправный,253.1,,-,-,-,,,,,,5634d26b-c882-415b-a000-914d7ae56b8f,,,37.4188673,55.66724929999999,61,POINT (37.4188673 55.66724929999999)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 17",de80be18-8567-4085-b3b5-d60cd5ab0fe3,d8ec07bc-aa1c-4811-8502-ef8524251054,45948000,Не выбран,,,,Жилой,Исправный,80.0,,-,-,-,,,,,,c3fe07ae-16f4-47df-b150-bc6fcbbef183,,,37.4186483,55.6677914,61,POINT (37.4186483 55.6677914)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 1А",180fbe9c-e991-4f77-9734-98e86d9c3e16,474501b4-7d05-4962-a224-446e7c0f383d,45948000,Не выбран,,,,Жилой,Исправный,135.0,,-,-,-,,,,,,a299705c-c9d5-4ca5-b71b-562fbc95a263,,,37.414722,55.6662059,61,POINT (37.414722 55.6662059)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 2",c45f85da-00b5-4112-9ec4-b8685df471cd,b1a9eafa-1b08-4138-abef-29c0f3a4ee86,45948000,Не выбран,,,,Жилой,Исправный,88.2,,-,-,-,,,,,,d9d846f5-91e5-429e-bd90-ce29094d24b6,,,37.4154849,55.666019,61,POINT (37.4154849 55.666019)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 23",8c8b7235-50db-4ad5-bda0-7a4049ce4b38,039d8caa-fd13-44be-a978-29bd24338c92,45948000,Не выбран,,,,Жилой,Исправный,137.8,,-,-,-,,,,,,c92a1850-85c2-45b8-966e-947d7fec1d79,,,37.4205227,55.6685479,61,POINT (37.4205227 55.6685479)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 27",785cea56-c51c-4eaa-9be1-ad302fadf138,dc77bbe5-a5a3-43c0-a69d-6a8a7d8d6a29,45948000,Не выбран,,,,Жилой,Исправный,202.6,,-,-,-,,,,,,0b625224-ee8b-467f-a155-83a2d89c8fb8,,,37.4216529,55.6690169,61,POINT (37.4216529 55.6690169)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 29",5b62a482-b28b-4330-811d-67d0029b54c7,30e60f54-2e86-42f6-9401-054922610f7a,45948000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,ea563f70-473e-4e38-9728-f5aec3355c9b,,,37.4222388,55.6691024,61,POINT (37.4222388 55.6691024)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 31А",6cdf6325-c605-4ec5-a8c3-0a3b96634fd2,615b0f24-30ed-4376-95be-a259d651ab77,45948000,Не выбран,,,,Жилой,Исправный,196.5,,-,-,-,,,,,,7d506db2-d613-4afc-a194-8f3b76cac59e,,,37.4226949,55.669418,61,POINT (37.4226949 55.669418)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 31Б",e9f46552-0844-4b10-82f7-dc76760e7a36,14ba1396-c9f2-4e34-a15a-5e740e1abc48,45948000,Не выбран,,,,Жилой,Исправный,92.0,,-,-,-,,,,,,0b5e447c-c833-4c47-b29a-6caf57750a28,,,37.4226949,55.669418,61,POINT (37.4226949 55.669418)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 3А",ec1618d3-c0d9-4613-b07d-2e9bdcec37e6,079bffa4-76a2-45cc-9c45-20ec3e0a1ad0,45948000,Не выбран,,,,Жилой,Исправный,135.6,,-,-,-,,,,,,2a68d088-27e0-4e05-9a03-142f5f4ee876,,,37.414144,55.66649899999999,61,POINT (37.414144 55.66649899999999)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 43",bcce6a22-b7aa-47bf-bbd5-80adf0e23d03,9f323d3b-4cd7-43df-8f9b-394387096a44,45948000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,8bb6d01b-43b8-462b-88cb-06cc4b599494,,,37.4159689,55.66614089999999,61,POINT (37.4159689 55.66614089999999)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 5",d47ab012-8a01-4065-8bdc-17f89ae8c7f6,301ca641-798d-4841-b34f-8c508d9d8a49,45948000,Не выбран,,,,Жилой,Исправный,52.1,,-,-,-,,,,,,bd407303-072a-4473-b38c-929642c9363f,,,37.4153707,55.6664069,61,POINT (37.4153707 55.6664069)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 5А",1dde57b1-f212-4dad-8ae4-aa24c67fa2b4,44643c2f-5667-4672-add0-db49ef5ea1b9,45948000,Не выбран,,,,Жилой,Исправный,59.9,,-,-,-,,,,,,2ded1392-bef0-4631-9dc8-7018eedba9ce,,,37.4153707,55.6664069,61,POINT (37.4153707 55.6664069)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 6",411ff114-8dee-4939-86b3-6183518b124e,2aaa8ee6-459e-47fc-8ea8-9b6aa08fa644,45948000,Не выбран,,,,Жилой,Исправный,53.1,,-,-,-,,,,,,97d9ca78-a5d9-4f1e-bb66-d7b1059600b0,,,37.4169079,55.66642,61,POINT (37.4169079 55.66642)
"108828, Москва г, п. Краснопахорское, д. Варварино, д. 9",615a5fb3-bd1b-4a87-9933-12f480618144,5ce7ee02-3341-4d3b-bcc1-b63efb51ddd7,45948000,Не выбран,,,,Жилой,Исправный,67.0,,-,-,-,,,,,,2a4169c8-d12e-465c-983f-371811385beb,,,37.416191,55.666776,61,POINT (37.416191 55.666776)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Родниковая, д. 1А",dac08c81-5d43-4e9e-8de5-04d1a6136dd8,92976342-bd42-4c8f-b7b8-7d282c57b697,45948000,Не выбран,,,,Жилой,Исправный,88.2,,-,-,-,,,,,,8a09dcad-bed9-4edf-b80f-72da4d2105ad,,,37.3805805,55.63926679999999,61,POINT (37.3805805 55.63926679999999)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Родниковая, д. 2",739cfb94-0fff-4b82-bad4-c5bbd68d9d2b,8e0b521c-1fc8-47c6-b60b-126e00f626f2,45948000,Не выбран,,,,Жилой,Исправный,76.3,,-,-,-,,,,,,b7da3cc5-f282-428f-989c-d2d6b4046548,,,37.3801247,55.6395621,61,POINT (37.3801247 55.6395621)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Родниковая, д. 3",24f5e790-27a7-4bb1-96c6-63a1c65adb33,6c5d8309-1393-49c9-ad35-4e9265bca470,45948000,Не выбран,,,,Жилой,Исправный,76.3,,-,-,-,,,,,,4e36fcf6-d8d7-45e1-a2fd-e525654368fa,,,37.38139,55.63644,61,POINT (37.38139 55.63644)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Родниковая, д. 6А",81de433a-e254-45c7-b095-dbeed1c21822,81de433a-e254-45c7-b095-dbeed1c21822,45948000,Не выбран,,,,Жилой дом блокированной застройки,,,,-,-,-,,,,,,5e07d914-778b-4fe6-8bba-f10c42ada284,,,37.3804278,55.63848369999999,61,POINT (37.3804278 55.63848369999999)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Родниковая, д. 7",355682fe-e30f-4bd3-8445-f70e8634424d,355682fe-e30f-4bd3-8445-f70e8634424d,45948000,Не выбран,,,,Жилой,Исправный,178.0,,-,-,-,,,,,,74602c51-13ed-4ba4-85b9-3e9c413c529a,,,37.3915933,55.6336216,61,POINT (37.3915933 55.6336216)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Родниковая, д. 8",e786a94b-209d-41ca-8f02-0c5ba7c0deb5,e786a94b-209d-41ca-8f02-0c5ba7c0deb5,45948000,Не выбран,,,,Жилой,Исправный,92.3,,-,-,-,,,,,,33d916c0-dd9c-4f56-9e07-e3b87fa7a83f,,,37.3809792,55.63808479999999,61,POINT (37.3809792 55.63808479999999)
"119618, Москва г, п. Московский, д. Говорово, ул. Полевая, д. 50",f69a65f9-5eab-4f87-9c4c-6d081ac37571,1e5ab519-ca10-4a68-8937-d37f45438fab,45952000,Не выбран,,,,Жилой,Исправный,123.7,,-,-,-,,,,,,562373cf-4f99-4d7f-8381-edfcf229db0d,,,37.4288527,55.6515043,61,POINT (37.4288527 55.6515043)
"119618, Москва г, п. Московский, д. Говорово, ул. Солнечная, д. 24",50d70605-e6de-4c88-94ba-fb5636d1d18b,50d70605-e6de-4c88-94ba-fb5636d1d18b,45952000,Не выбран,,,,Жилой,,276.9,,-,-,-,,,,,50:21:0110502:819,44b07cfd-5ffb-4d10-accf-6fb0e2bf01f1,,,37.4276235,55.65014979999999,61,POINT (37.4276235 55.65014979999999)
"119618, Москва г, п. Московский, д. Говорово, ул. Солнечная, д. 8",735d42ae-b1b7-407d-8bb9-d7a8763392d8,a9570776-c0a5-4782-88bd-cf0f1b33a3ea,45952000,Не выбран,,,,Жилой,Исправный,646.1,,-,-,-,,,,,,f533c111-be72-4d1d-9a84-9e8e3e507d62,,,37.4273248,55.64987619999999,61,POINT (37.4273248 55.64987619999999)
"119618, Москва г, п. Московский, кв-л 12, д. 10",af4462bb-47a2-4696-87bb-bf2375569bd5,3158c71a-bbe7-4776-bc7e-145809f00e14,45952000,Не выбран,,,,Жилой,Исправный,365.6,,-,-,-,,,,,77:17:0110205:2725,5c404cec-f06d-4e47-aa42-0b3314ba60b4,,,37.4189893,55.6667876,61,POINT (37.4189893 55.6667876)
"119618, Москва г, п. Московский, кв-л 12, д. 7, строение 1",b0a77e08-c99e-416a-b1cf-6e0362ec47b3,b50a4fea-780a-49b8-835f-ad4d837f020e,45952000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,c21aa93a-cb09-4360-ab21-e387131e24c6,,,37.4189893,55.6667876,61,POINT (37.4189893 55.6667876)
"119618, Москва г, п. Московский, кв-л 21, д. 35, строение 1",5391e519-3342-45e3-b121-58d5448a2af9,a1c0b2df-3fe7-4dbf-8489-73cd87e74881,45952000,Не выбран,,,,Жилой,Исправный,315.3,,-,-,-,,,,,,487a57a3-5d91-46ba-ae63-0f390d4c0fcd,,,37.4189893,55.6667876,61,POINT (37.4189893 55.6667876)
"119618, Москва г, п. Московский, кв-л 25, д. 34, строение 2",da6dde7a-cff0-44c5-a182-96d471576684,da6dde7a-cff0-44c5-a182-96d471576684,45952000,Не выбран,,,,Жилой,Исправный,48.0,,-,-,-,,,,,,af571f32-5800-4016-95cc-7635e98ef690,,,37.4189893,55.6667876,61,POINT (37.4189893 55.6667876)
"119618, Москва г, п. Московский, кв-л 25, д. 38, строение 1",9b8d1c67-787d-4890-bf70-f0bda2acd1fc,9b8d1c67-787d-4890-bf70-f0bda2acd1fc,45952000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,2db82486-fd9a-495b-bca6-469784952fa2,,,37.4189893,55.6667876,61,POINT (37.4189893 55.6667876)
