Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"124365, Москва г, г. Зеленоград, корп. 1601",eae22dac-9630-4d66-888f-ab8ea91ae7d5,eae22dac-9630-4d66-888f-ab8ea91ae7d5,45330000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,18007.7,17857,нет,нет,-,,,,,77:10:0006004:1026,9894757a-38be-4a0d-8700-c60fa39adafc,,,37.1828689,55.9846714,62,POINT (37.1828689 55.9846714)
"124365, Москва г, г. Зеленоград, корп. 1603",7a7a2f59-210f-403c-8cc9-1de82079666b,7a7a2f59-210f-403c-8cc9-1de82079666b,45330000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,2448.2,2438,нет,нет,-,,,,,77:10:0006004:1040,8ad85bc7-a501-4879-9643-e7a2913aa75a,,,37.1828689,55.9846714,62,POINT (37.1828689 55.9846714)
"124365, Москва г, г. Зеленоград, корп. 1605",d643c52f-a037-418b-ab1b-6c6f3831641c,de2fb8bc-3702-4986-8375-69b47e395288,45330000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,10557.1,10455,нет,нет,-,,,,,77:10:0006004:1028,627de6eb-169c-4880-b8c9-a3c75ed82e3d,,,37.1828689,55.9846714,62,POINT (37.1828689 55.9846714)
"124365, Москва г, г. Зеленоград, корп. 1606",79d97fcc-10bf-4c35-a0c3-e4fa9a73d580,09bf6a90-0260-4653-817b-97a0bd3f28f6,45330000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,21838.8,21686,нет,нет,-,,,,,77:10:0006004:1029,3ff48518-2587-4001-a16b-4f1971ff6e75,,,37.1828689,55.9846714,62,POINT (37.1828689 55.9846714)
"124365, Москва г, г. Зеленоград, корп. 1607",4d75be87-e99a-4d06-a1dd-2ffff4183d2b,4d75be87-e99a-4d06-a1dd-2ffff4183d2b,45330000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,2436.5,2427,нет,нет,-,,,,,77:10:0006004:1038,894046cc-80e4-4c38-a9e0-e8de98b53af2,,,37.1828689,55.9846714,62,POINT (37.1828689 55.9846714)
"124365, Москва г, г. Зеленоград, корп. 1613",1bebd4f9-cf40-4705-b76c-ddbb6af2310b,66a9eceb-82b3-4821-b3d3-09ce2de0dd28,45330000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,11452.2,10938,нет,нет,-,,,,,77:10:0006004:1050,062cddd7-d932-456f-900c-8d2796f6dcc4,,,37.1828689,55.9846714,62,POINT (37.1828689 55.9846714)
"124365, Москва г, г. Зеленоград, корп. 1614",b5fedd99-d244-4a7b-8054-c3f6583f3230,b5fedd99-d244-4a7b-8054-c3f6583f3230,45330000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,11469.0,10947,нет,нет,-,,,,,77:10:0006004:1007,7948b08e-3b56-44d9-a565-8299c721ca24,,,37.1828689,55.9846714,62,POINT (37.1828689 55.9846714)
"124365, Москва г, г. Зеленоград, корп. 1615",25d91009-fcaa-4921-97ab-7b9813f2f5d6,cba9bdbf-fa88-4717-83a9-82cade86868c,45330000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,11432.6,10919,нет,нет,-,,,,,77:10:0006004:1045,a12d5a08-08a5-4b23-8970-3587c72bd87d,,,37.1828689,55.9846714,62,POINT (37.1828689 55.9846714)
"124365, Москва г, г. Зеленоград, корп. 1616",b6e4bd45-93dd-442f-bc1d-ef13a463cf95,b6e4bd45-93dd-442f-bc1d-ef13a463cf95,45330000,ЖК,1037739080895.0,773501001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""КРЮКОВО-2""",Многоквартирный,Исправный,11469.7,10957,-,-,-,,,,,77:10:0006004:1042,7e0fb16e-9fef-4c29-9b8f-120e6dc0a165,,,37.1828689,55.9846714,62,POINT (37.1828689 55.9846714)
"124365, Москва г, г. Зеленоград, корп. 1619",409ef7a1-77ec-4da5-a522-35a3ae176a39,76ae0aba-2608-4fd1-b80f-ce12cd756bb7,45330000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,9720.4,9606,нет,нет,-,,,,,77:10:0006004:1039,368e60f9-23d4-409f-8158-7d57b7fe16e7,,,37.1828689,55.9846714,62,POINT (37.1828689 55.9846714)
