Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"105064, Москва г, пер. Обуха, д. 4",5243bf0a-694b-4fa9-8c2a-12b5f02f4131,5243bf0a-694b-4fa9-8c2a-12b5f02f4131,45381000,УО,5147746272560.0,770901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ТАГАНСКОГО РАЙОНА""",Многоквартирный,Исправный,4379.9,3945.7,-,-,-,,,,,77:01:0001019:1104,3728685d-51ac-49cf-a459-c1fc6f6d647d,,,37.6533522,55.7520348,96,POINT (37.6533522 55.7520348)
"105064, Москва г, ул. Воронцово Поле, д. 16, строение 5",d1a77ca5-f333-4ff6-aa95-bf57798fff43,d1a77ca5-f333-4ff6-aa95-bf57798fff43,45381000,УО,5147746272560.0,770901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ТАГАНСКОГО РАЙОНА""",Многоквартирный,Исправный,1675.8,1242,-,-,-,,,,,77:01:0001019:1105,427f307b-71ca-47c1-810c-ca30831795e2,,,37.6540842,55.7533825,96,POINT (37.6540842 55.7533825)
"105064, Москва г, ул. Воронцово Поле, д. 18",4cb9389d-0c92-4492-a05e-0c82716b7e7f,4cb9389d-0c92-4492-a05e-0c82716b7e7f,45381000,УО,5147746272560.0,770901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ТАГАНСКОГО РАЙОНА""",Многоквартирный,Исправный,2002.1,1489,-,-,-,,,,,77:01:0001019:1106,24a700dc-0fde-46ca-8f09-8199504bc24f,,,37.6557895,55.7545776,96,POINT (37.6557895 55.7545776)
"105064, Москва г, ул. Земляной Вал, д. 42/20",043ef820-03f5-42af-9e2f-c1e1400fccfb,043ef820-03f5-42af-9e2f-c1e1400fccfb,45381000,УО,5147746272560.0,770901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ТАГАНСКОГО РАЙОНА""",Многоквартирный,Исправный,7187.6,5541.5,-,-,-,,,,,77:01:0001019:1107,918b9661-3b7b-4d1d-91dd-b4ed0ccf4448,,,37.6562729,55.7545435,96,POINT (37.6562729 55.7545435)
"105064, Москва г, ул. Земляной Вал, д. 44",f0dc9172-8804-4295-bbd8-5b4abeea29ef,f0dc9172-8804-4295-bbd8-5b4abeea29ef,45381000,УО,5147746272560.0,770901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ТАГАНСКОГО РАЙОНА""",Многоквартирный,Исправный,2000.8,1494.4,-,-,-,,,,,77:01:0001019:1108,d676217b-6fb0-4f3f-8382-9ab52f933061,,,37.6561521,55.75403679999999,96,POINT (37.6561521 55.75403679999999)
"105064, Москва г, ул. Земляной Вал, д. 46",0ffe2efc-d005-4a2e-a029-ef58117c71d4,19e955a2-e26f-495d-8313-409d5e707dcb,45381000,УО,5147746272560.0,770901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ТАГАНСКОГО РАЙОНА""",Многоквартирный,Исправный,11924.8,9667.3,-,-,-,,,,,77:01:0001019:1109,8a1bc4f4-2e41-4856-9766-d93971f69263,,,37.6556414,55.7527361,96,POINT (37.6556414 55.7527361)
"105064, Москва г, ул. Земляной Вал, д. 48А",8a9e74ed-608a-4745-a195-fdd8d7cb4197,8a9e74ed-608a-4745-a195-fdd8d7cb4197,45381000,УО,5147746272560.0,770901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ТАГАНСКОГО РАЙОНА""",Многоквартирный,Исправный,8335.4,6331.8,-,-,-,,,,,77:01:0001019:1111,1e3ebda7-b31d-472d-94e9-64e195e2033c,,,37.6553759,55.75228,96,POINT (37.6553759 55.75228)
"105064, Москва г, ул. Земляной Вал, д. 48Б",612ff0d7-022c-495a-a130-9d3334bd334b,16a5c3f3-7ef3-4182-a442-ead228538162,45381000,УО,5147746272560.0,770901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ТАГАНСКОГО РАЙОНА""",Многоквартирный,Исправный,6059.2,5220.3,-,-,-,,,,,77:01:0001019:1110,5c972bfd-e57f-4e59-a850-1e6dcf091e81,,,37.6554524,55.7517401,96,POINT (37.6554524 55.7517401)
"105120, Москва г, пер. 2-й Сыромятнический, д. 10",81d8944a-9a40-4013-b79e-9db1b4c03423,81d8944a-9a40-4013-b79e-9db1b4c03423,45381000,ТСЖ,1027739877494.0,770901001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""ЗВЕЗДОПАД""",Многоквартирный,Исправный,7723.1,5822.5,-,-,-,,,,,77:01:0003001:1068,6786f768-ceec-4c51-9668-6b132a3e916d,,,37.6624493,55.7523323,96,POINT (37.6624493 55.7523323)
"105120, Москва г, пер. 2-й Сыромятнический, д. 4, строение 3",c9d5698b-d0dc-433a-bbe4-a9737f5f38c4,c9d5698b-d0dc-433a-bbe4-a9737f5f38c4,45381000,УО,5147746272560.0,770901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ТАГАНСКОГО РАЙОНА""",Многоквартирный,Исправный,1204.1,938.6,-,-,-,,,,,77:01:0003001:1039,5c674ee9-36f5-425d-a1f6-08ff8d66cb58,,,37.6605147,55.7534816,96,POINT (37.6605147 55.7534816)
