Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"107031, Москва г, б-р. Страстной, д. 10, корп. 1",fb299038-71f1-41bb-91ce-a48ba27e1d22,fb299038-71f1-41bb-91ce-a48ba27e1d22,45382000,УО,1137746552877.0,770701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТВЕРСКОЙ""",Многоквартирный,Исправный,8832.9,5641.4,-,-,-,,,,,77:01:0001078:1049,5898b1dc-5a10-455d-b566-8ab7d117bfda,,,37.6113905,55.7661606,97,POINT (37.6113905 55.7661606)
"107031, Москва г, б-р. Страстной, д. 10, строение 1",d398fb82-2fe4-4ae7-a63d-cf448257ec71,d398fb82-2fe4-4ae7-a63d-cf448257ec71,45382000,Не выбран,,,,Многоквартирный,,,,-,-,-,,,,,,1c7b6e9f-85ad-4237-a6eb-0c3caba2b39a,,,37.6113905,55.7661606,97,POINT (37.6113905 55.7661606)
"107031, Москва г, б-р. Страстной, д. 12, строение 1",f8e333a1-71b6-4fc1-b97b-c18c136f3873,6db7b4a6-9bc1-4e85-8a5a-0fe76d93b15b,45382000,УО,1137746552877.0,770701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТВЕРСКОЙ""",Многоквартирный,Исправный,3724.4,2241,-,-,-,,,,,77:01:0001078:1022,b9880869-9622-487c-a05e-b70adb7eb0d5,,,37.6118665,55.7671006,97,POINT (37.6118665 55.7671006)
"107031, Москва г, пер. Дмитровский, д. 2, строение 1",93172b53-2088-43b1-9a9f-60c564cf6bd2,39add6af-ac2e-4444-a795-6234b6d06a09,45382000,УО,1137746552877.0,770701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТВЕРСКОЙ""",Многоквартирный,Исправный,1401.2,460,-,-,-,,,,,77:01:0001042:1020,7a41b2aa-bf54-46f8-b52c-ac1aa6cc3214,,,37.6155953,55.7615795,97,POINT (37.6155953 55.7615795)
"107031, Москва г, пер. Дмитровский, д. 4, строение 1",c1fd3bce-28f4-4d7d-bcb3-366d23dcade6,c1fd3bce-28f4-4d7d-bcb3-366d23dcade6,45382000,УО,1137746552877.0,770701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТВЕРСКОЙ""",Многоквартирный,Исправный,2317.8,1315,-,-,-,,,,,77:01:0001042:1004,cfe4b348-5de1-42ed-82ec-50a9ccd33b32,,,37.6158187,55.7618102,97,POINT (37.6158187 55.7618102)
"107031, Москва г, пер. Дмитровский, д. 4, строение 2",e022ba44-4626-46dc-8967-b1d307864207,651b9305-2505-42aa-95b6-0b9f3bbd7ac8,45382000,УО,1137746552877.0,770701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТВЕРСКОЙ""",Многоквартирный,Исправный,1128.2,463,-,-,-,,,,,77:01:0001042:1005,48e36e16-bce9-4bf5-94ec-9a9091954c4b,,,37.6158187,55.7618102,97,POINT (37.6158187 55.7618102)
"107031, Москва г, пер. Дмитровский, д. 7",e0c13489-3473-4db4-bd70-20ebd8116071,e0c13489-3473-4db4-bd70-20ebd8116071,45382000,ТСЖ,1047797022074.0,770701001.0,"Товарищество собственников жилья ""На Дмитровке""",Многоквартирный,Исправный,12442.5,2985,-,-,-,,,,,77:01:0001042:1025,732edfe2-f0a2-4ad8-a727-e75969c0495c,,,37.6161773,55.76239349999999,97,POINT (37.6161773 55.76239349999999)
"107031, Москва г, пер. Петровский, д. 1/30, строение 1",e795c176-6b75-4058-a526-906ecab227f5,466e80b8-a76e-4a01-ab03-b0fdabb9c05a,45382000,УО,1137746552877.0,770701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТВЕРСКОЙ""",Многоквартирный,Исправный,3084.3,2101,-,-,-,,,,,77:01:0001078:1028,2b75b579-a6f4-42c6-ab32-69fd01be5cb6,,,37.6115752,55.7651269,97,POINT (37.6115752 55.7651269)
"107031, Москва г, пер. Петровский, д. 1/30, строение 2",a7dae889-1905-4543-88c1-c080606052dd,9e2aefb2-a5fb-439a-95cc-1491ce45a9fc,45382000,УО,1137746552877.0,770701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТВЕРСКОЙ""",Многоквартирный,Исправный,1267.5,633,-,нет,-,,,,,77:01:0001078:1029,d263fc28-f391-4ee5-b96f-db07d39878bf,,,37.6125407,55.765567,97,POINT (37.6125407 55.765567)
"107031, Москва г, пер. Петровский, д. 5, строение 1",cbe5c369-1cd6-40a4-ab0f-7c851e15a185,cbe5c369-1cd6-40a4-ab0f-7c851e15a185,45382000,УО,1137746552877.0,770701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТВЕРСКОЙ""",Многоквартирный,Исправный,1827.9,1227,-,-,-,,,,,77:01:0001078:1042,f1cf357e-11b5-47cf-8c53-47a0c1281e8b,,,37.61357,55.766016,97,POINT (37.61357 55.766016)
