Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"109125, Москва г, б-р. Волжский, д. 12, корп. 1",77376db8-6004-4087-8349-41ac58f53b00,77376db8-6004-4087-8349-41ac58f53b00,45395000,УО,5137746243960.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТЕКСТИЛЬЩИКИ""",Многоквартирный,Исправный,9165.3,9035.3,-,-,-,,,,,77:04:0002019:1015,2eaf198e-cbe9-4007-9d95-19a97ad63813,,,37.7432746,55.7137753,64,POINT (37.7432746 55.7137753)
"109125, Москва г, б-р. Волжский, д. 12, корп. 2",2b614f09-5e68-4012-904b-a0cb10b0af39,2b614f09-5e68-4012-904b-a0cb10b0af39,45395000,УО,5137746243960.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТЕКСТИЛЬЩИКИ""",Многоквартирный,Исправный,3606.4,3606.9,-,-,-,,,,,77:04:0002019:1016,c9ee354f-98eb-4482-a964-ef5bde365566,,,37.7421255,55.7133964,64,POINT (37.7421255 55.7133964)
"109125, Москва г, б-р. Волжский, д. 12, корп. 3",7ecc5c08-b692-4801-899f-c2ebb5bd0b88,7ecc5c08-b692-4801-899f-c2ebb5bd0b88,45395000,УО,5137746243960.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТЕКСТИЛЬЩИКИ""",Многоквартирный,Исправный,3651.2,3651.2,-,-,-,,,,,77:04:0002019:1017,bfcb088c-c9cc-47c2-afb2-14e3ff4c6af2,,,37.7423056,55.7136877,64,POINT (37.7423056 55.7136877)
"109125, Москва г, б-р. Волжский, д. 14",06e08004-1ac6-4308-8184-3b21a701dc7e,b0e721dc-5ba0-42ff-bfcd-1078a642e654,45395000,УО,5137746243960.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТЕКСТИЛЬЩИКИ""",Многоквартирный,Исправный,7853.2,7742.6,-,-,-,,,,,77:04:0002019:1018,5f9c8fab-1694-4967-b10f-1c0fe25c1201,,,37.7437372,55.7129938,64,POINT (37.7437372 55.7129938)
"109125, Москва г, б-р. Волжский, д. 16, корп. 1",2e5aa2fa-38a1-44eb-b99d-2d95a0766174,1af4b2df-6ad8-455f-8da6-35a0d8ef0d40,45395000,УО,5137746243960.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТЕКСТИЛЬЩИКИ""",Многоквартирный,Исправный,8954.0,7001.7,-,-,-,,,,,77:04:0002019:1019,77452a16-7a70-48e0-8b82-71dd256f551d,,,37.74409,55.71205699999999,64,POINT (37.74409 55.71205699999999)
"109125, Москва г, б-р. Волжский, д. 18, корп. 1",c9a6dc41-9019-4741-bc09-f5a1c5f4240d,8f88fa8c-3c67-4ece-b1c6-b3cc3a219301,45395000,УО,5137746243960.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТЕКСТИЛЬЩИКИ""",Многоквартирный,Исправный,7811.1,7698.3,-,-,-,,,,,77:04:0002019:1020,aec6301b-c5d9-431b-a7b6-88f417536a53,,,37.742896,55.711209,64,POINT (37.742896 55.711209)
"109125, Москва г, б-р. Волжский, д. 18, корп. 2",4b8a4161-ab44-41ed-a036-426f9b8efc73,c9db3be9-ea50-4147-abc0-079b2e713d9c,45395000,УО,5137746243960.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТЕКСТИЛЬЩИКИ""",Многоквартирный,Исправный,9023.6,8935.6,-,-,-,,,,,77:04:0002019:1021,f041d586-0855-4a7a-9085-339574bef605,,,37.741173,55.71103,64,POINT (37.741173 55.71103)
"109125, Москва г, б-р. Волжский, д. 20",bfb1b519-6605-43c9-99d4-79d8edd42342,762291e8-50ed-466e-bed8-9e2d78e769f6,45395000,УО,5137746243960.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТЕКСТИЛЬЩИКИ""",Многоквартирный,Исправный,11049.6,11042.3,-,-,-,,,,,77:04:0002019:1022,4c70718b-6ce0-4680-9d7b-f76b987ef72d,,,37.745005,55.7109569,64,POINT (37.745005 55.7109569)
"109125, Москва г, б-р. Волжский, д. 20А",09988736-617a-4c0d-b490-d7c1df28a970,09988736-617a-4c0d-b490-d7c1df28a970,45395000,УО,5137746243960.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТЕКСТИЛЬЩИКИ""",Многоквартирный,Исправный,2116.7,2094.6,-,-,-,,,,,77:04:0002019:1023,533b2237-8420-44f7-89f2-223a662d5217,,,37.744861,55.710979,64,POINT (37.744861 55.710979)
"109125, Москва г, пр-кт. Волгоградский, д. 51",03683d76-4e31-4a3b-82bc-79302080dd99,1f016cb3-a92b-4de2-9fbb-7180e229ccee,45395000,УО,5137746243960.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТЕКСТИЛЬЩИКИ""",Многоквартирный,Исправный,3459.3,3104.4,-,-,-,,,,,77:04:0002019:1024,65546ba7-4870-47a5-9f13-0a92172868bc,,,37.731886,55.70993600000001,64,POINT (37.731886 55.70993600000001)
