Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"127206, Москва г, проезд. Дмитровский, д. 20, корп. 1",74dd57d7-6eda-4fbe-83a4-a05c223f9543,74dd57d7-6eda-4fbe-83a4-a05c223f9543,45346000,УО,5147746311510.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ТИМИРЯЗЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,9731.2,9148,-,-,-,,,,,77:09:0003021:1089,4ea2be00-3340-4bc1-900d-d66e141e48f4,,,37.562631,55.8073116,78,POINT (37.562631 55.8073116)
"127206, Москва г, проезд. Дмитровский, д. 20, корп. 2",c4ce046f-84ea-4421-b5ab-2880064082fe,db9d98a4-fd3f-493f-854e-e1850ee52686,45346000,УО,5147746311510.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ТИМИРЯЗЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,3125.5,9217.3,-,-,-,,,,,77:09:0003021:1139,a42709e6-fbfd-493c-a3d4-24269ed202dc,,,37.5620513,55.8072345,78,POINT (37.5620513 55.8072345)
"127206, Москва г, туп. Чуксин, д. 2",7015e6ec-9f38-47be-93d5-661e12995511,7015e6ec-9f38-47be-93d5-661e12995511,45346000,УО,5067746496153.0,773101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ТИМИРЯЗЕВСКАЯ""",Многоквартирный,Исправный,3630.9,3543.1,-,-,-,,,,,77:09:0003021:1134,9001e27b-5748-4603-9dd1-31b1de5f01a8,,,37.55953179999999,55.8069741,78,POINT (37.55953179999999 55.8069741)
"127206, Москва г, туп. Чуксин, д. 3",45c1f9c2-a29c-4b4b-a49f-f7f7fd94f45e,45c1f9c2-a29c-4b4b-a49f-f7f7fd94f45e,45346000,УО,5067746496153.0,773101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ТИМИРЯЗЕВСКАЯ""",Многоквартирный,Исправный,3322.7,3190.1,-,-,-,,,,,77:09:0003021:1135,fc117782-4d7d-4dd4-a609-86ee365a5a35,,,37.559273,55.80604899999999,78,POINT (37.559273 55.80604899999999)
"127206, Москва г, туп. Чуксин, д. 5",47daa37d-73ae-4be0-a634-5d680470f57e,a826adec-bfc6-4ea8-ad7b-d68113b62c06,45346000,УО,5067746496153.0,773101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ТИМИРЯЗЕВСКАЯ""",Многоквартирный,Исправный,3430.6,3430.6,-,-,-,,,,,77:09:0003021:1137,a30c3d37-0784-4fe9-945c-3c3ab273763c,,,37.5580885,55.8061934,78,POINT (37.5580885 55.8061934)
"127206, Москва г, туп. Чуксин, д. 7",95b4abd5-3e67-4442-8be0-1c51c6768895,95b4abd5-3e67-4442-8be0-1c51c6768895,45346000,УО,5067746496153.0,773101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ТИМИРЯЗЕВСКАЯ""",Многоквартирный,Исправный,2581.7,2571,-,-,-,,,,,77:09:0003021:1138,32a99c01-08bd-459d-9755-c452f9c6f4b8,,,37.5574391,55.8055866,78,POINT (37.5574391 55.8055866)
"127206, Москва г, ул. Тимирязевская, д. 33, строение 15",735be4af-9bee-4068-bc58-8d5099f1fa7e,735be4af-9bee-4068-bc58-8d5099f1fa7e,45346000,Не выбран,,,,Жилой,Исправный,242.1,,-,-,-,,,,,77:09:0003021:1131,b8f7c2b8-eac2-48b6-a622-35b33dec7557,,,37.5573749,55.81610999999999,78,POINT (37.5573749 55.81610999999999)
"127238, Москва г, проезд. 3-й Нижнелихоборский, д. 11",021552ba-3868-418a-b5e6-e50dc56526f2,021552ba-3868-418a-b5e6-e50dc56526f2,45346000,УО,5147746311510.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ТИМИРЯЗЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,3782.5,2809.1,-,-,-,,,,,77:09:0003025:1039,9361044d-53df-48d7-a490-f51b5cbe9cfb,,,37.5703306,55.8467806,78,POINT (37.5703306 55.8467806)
"127238, Москва г, проезд. 3-й Нижнелихоборский, д. 13, корп. 1",dac56ca8-0ac0-4ff9-8c78-b3dd3e6e182d,dac56ca8-0ac0-4ff9-8c78-b3dd3e6e182d,45346000,УО,5067746496153.0,773101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ТИМИРЯЗЕВСКАЯ""",Многоквартирный,Исправный,2711.4,2589.3,-,-,-,,,,,77:09:0003025:1041,e5d12a1c-a5d2-4fd5-b627-950dc2afeae8,,,37.5707216,55.8472005,78,POINT (37.5707216 55.8472005)
"127238, Москва г, проезд. 3-й Нижнелихоборский, д. 13, корп. 2",31b74166-57d2-47c9-969c-4eee33dab2cf,31b74166-57d2-47c9-969c-4eee33dab2cf,45346000,УО,5117746036370.0,773301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ РЕМОНТНО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ № 53""",Многоквартирный,Исправный,2640.9,2610.5,-,-,-,,,,,77:09:0003025:1040,c005baa5-c50f-4a88-affd-8eeb161988ab,,,37.571636,55.847363,78,POINT (37.571636 55.847363)
