Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108807, Москва г, п. Первомайское, д. Ширяево, ул. Озёрная, д. 37, корп. 2",22f598c9-980d-4fb8-b14a-d1a148fa2e43,6a20af56-eb7d-4abf-a0fe-a456bf38a9b6,45955000,ТСЖ,1187746192963.0,775101001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ НЕДВИЖИМОСТИ ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""ШИРЯЕВСКИЕ УСАДЬБЫ""",Жилой дом блокированной застройки,Исправный,611.9,,-,-,-,,,,,77:18:0191012:77,f4d4bf27-183b-4251-b5a8-51b4fc97e2b6,,,37.4448619,55.66724,87,POINT (37.4448619 55.66724)
"108807, Москва г, п. Первомайское, д. Ширяево, ул. Озёрная, д. 37, корп. 3",be631185-191d-4e8d-abc7-32d7986ae334,416d22cc-7161-4a7f-8e17-eee61bcca567,45955000,ТСЖ,1187746192963.0,775101001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ НЕДВИЖИМОСТИ ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""ШИРЯЕВСКИЕ УСАДЬБЫ""",Жилой дом блокированной застройки,Исправный,616.6,,-,-,-,,,,,77:18:0191012:43,2cf78ef2-5485-4909-8fd3-68ca903d7805,,,37.4452445,55.6672386,87,POINT (37.4452445 55.6672386)
"119421, Москва г, кв-л. Юго-Запада 38-й, корп. 3",acff528e-70c1-450c-a5d6-a6fb5ac73185,acff528e-70c1-450c-a5d6-a6fb5ac73185,45905000,УО,1157746480264.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ОБРУЧЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,15262.4,15110.6,-,-,-,,,,,77:06:0003013:1096,347663f4-102d-45e6-9f40-b00823d6b9a7,,,37.4993894,55.6676387,87,POINT (37.4993894 55.6676387)
"119526, Москва г, пр-кт. Вернадского, д. 101, корп. 8",a08c6510-e71b-41f8-a06e-4b7945d953e3,a08c6510-e71b-41f8-a06e-4b7945d953e3,45327000,УО,5137746228087.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТРОПАРЕВО-НИКУЛИНО""",Многоквартирный,Исправный,13358.5,12509.1,-,-,-,,,,,77:07:0014008:1010,fb3cd937-2478-4e81-baaf-0a42a3c09b1a,,,37.4887659,55.6638503,87,POINT (37.4887659 55.6638503)
"119526, Москва г, пр-кт. Вернадского, д. 105, корп. 2",2bfcff99-ae9b-42c6-ae8c-2231e1d69e12,2bfcff99-ae9b-42c6-ae8c-2231e1d69e12,45327000,УО,5137746228087.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТРОПАРЕВО-НИКУЛИНО""",Многоквартирный,Исправный,13717.7,12651,-,-,-,,,,,77:07:0014008:1049,ff52b020-15b1-4392-a41d-fe6a521ab50c,,,37.4875974,55.6623148,87,POINT (37.4875974 55.6623148)
"119526, Москва г, пр-кт. Вернадского, д. 105, корп. 4",f3cfc273-92d8-4af8-95e4-bff57fde276d,fcc3319d-7c95-4f5a-93b0-8c7152bd56aa,45327000,ТСЖ,1217700114103.0,772901001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""ДОМ НА ЮГО-ЗАПАДЕ""",Многоквартирный,Исправный,85189.6,66509.2,-,-,-,,,,,77:07:0014008:1073,44b38717-d741-45d0-817a-89b4a16d9594,,,37.4856647,55.6629704,87,POINT (37.4856647 55.6629704)
"119526, Москва г, пр-кт. Вернадского, д. 89, корп. 1",bfc38215-a1d1-48a1-968e-24e9610b69ee,bfc38215-a1d1-48a1-968e-24e9610b69ee,45327000,ЖК,1037729008020.0,772901001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""СПАРТАК""",Многоквартирный,Исправный,8868.4,7201.8,-,-,-,,,,,77:07:0014008:1029,5982d7dc-8624-42b6-91c3-d8ecf1f2e23b,,,37.4984824,55.6664094,87,POINT (37.4984824 55.6664094)
"119526, Москва г, пр-кт. Вернадского, д. 89, корп. 2",275a59c6-6445-4c81-986d-11163ad37907,275a59c6-6445-4c81-986d-11163ad37907,45327000,УО,5137746228087.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТРОПАРЕВО-НИКУЛИНО""",Многоквартирный,Исправный,7141.1,7131,-,-,-,,,,,77:07:0014008:1030,a6dcf881-3241-4c8a-9375-79e3e5ccee36,,,37.49905690000001,55.6654054,87,POINT (37.49905690000001 55.6654054)
"119526, Москва г, пр-кт. Вернадского, д. 89, корп. 4",83801982-31de-4bfc-a068-a90805938940,83801982-31de-4bfc-a068-a90805938940,45327000,УО,5137746228087.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТРОПАРЕВО-НИКУЛИНО""",Многоквартирный,Исправный,7565.6,7135,-,-,-,,,,,77:07:0014008:1009,aba67c90-ab5d-44f9-a777-5473855c68f0,,,37.5000811,55.665004,87,POINT (37.5000811 55.665004)
"119526, Москва г, пр-кт. Вернадского, д. 89, корп. 5",55e9644a-b7e2-4af5-b3e6-1d77f234e140,55e9644a-b7e2-4af5-b3e6-1d77f234e140,45327000,УО,5137746228087.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТРОПАРЕВО-НИКУЛИНО""",Многоквартирный,Исправный,7131.8,7123,-,-,-,,,,,77:07:0014008:1031,478fcf76-1b46-431b-9f3d-47de880410c7,,,37.4988661,55.6646295,87,POINT (37.4988661 55.6646295)
"119526, Москва г, пр-кт. Вернадского, д. 91, корп. 1",93683b59-b9ed-4356-829b-c06480b88ca0,93683b59-b9ed-4356-829b-c06480b88ca0,45327000,ЖК,1037729016621.0,772901001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""МАТИ"" (НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ)",Многоквартирный,Исправный,7112.6,7102.2,-,-,-,,,,,77:07:0014008:1032,b694801d-8e8c-4beb-83c0-01c7076f5944,,,37.495905,55.6663974,87,POINT (37.495905 55.6663974)
"119526, Москва г, пр-кт. Вернадского, д. 91, корп. 2",f1d2714e-2fcb-4523-865b-e04ba91fb8bf,f1d2714e-2fcb-4523-865b-e04ba91fb8bf,45327000,УО,5137746228087.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТРОПАРЕВО-НИКУЛИНО""",Многоквартирный,Исправный,14130.3,13864,-,-,-,,,,,77:07:0014008:1033,8e01edd8-ee4e-4d78-8282-f6acf968e4b5,,,37.4976834,55.6658385,87,POINT (37.4976834 55.6658385)
"119526, Москва г, пр-кт. Вернадского, д. 91, корп. 3",0aed310e-7ca5-4055-acf1-7eb3f2b2981d,0aed310e-7ca5-4055-acf1-7eb3f2b2981d,45327000,УО,1157746549960.0,772701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРАНДСТРОЙПРОЕКТ""",Многоквартирный,Исправный,5849.1,,-,-,-,,,,,77:07:0014008:1034,18e4fc67-81a1-4531-aa60-fbfd349dc373,,,37.4928496,55.66526349999999,87,POINT (37.4928496 55.66526349999999)
"119526, Москва г, пр-кт. Вернадского, д. 93",80cdb36a-c51e-4b18-8a03-d31b8987bfea,a5683f1d-19b5-4188-84de-c9aca2b75ea8,45327000,ЖК,1037729012683.0,772901001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""УСПЕХ-5"" (НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ)",Многоквартирный,Исправный,9275.0,7234,-,-,-,,,,,77:07:0014008:1036,0b3d733f-3d6e-4cde-91a7-a9f3074b9536,,,37.4993894,55.6676387,87,POINT (37.4993894 55.6676387)
"119526, Москва г, пр-кт. Вернадского, д. 93, корп. 1",5f83e5ed-8439-45ee-961b-398e9d75ef2a,5f83e5ed-8439-45ee-961b-398e9d75ef2a,45327000,УО,5137746228087.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТРОПАРЕВО-НИКУЛИНО""",Многоквартирный,Исправный,20399.5,19667.8,-,-,-,,,,,77:07:0014008:1035,f2bcb2da-f60b-4f2a-961f-c6db5a9b888f,,,37.4970083,55.66703469999999,87,POINT (37.4970083 55.66703469999999)
"119526, Москва г, пр-кт. Вернадского, д. 95, корп. 1",8631433b-b153-4785-a57f-dbeb0e5a0e4a,8631433b-b153-4785-a57f-dbeb0e5a0e4a,45327000,УО,5137746228087.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТРОПАРЕВО-НИКУЛИНО""",Многоквартирный,Исправный,7111.0,7100,-,-,-,,,,,нет,ca22f129-486a-42ff-a94d-650dc42854f5,,,37.49234,55.666663,87,POINT (37.49234 55.666663)
"119526, Москва г, пр-кт. Вернадского, д. 95, корп. 2",2948eee6-8d22-484d-b1a7-8e62766ce92f,40b63dcb-9e1b-4852-a50c-d1e318ccc40c,45327000,ЖК,1027700546587.0,772901001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""АНЗАС"" РАБОТНИКОВ АКАДЕМИИ НАУК СССР И ММЗ ""СОЮЗ"" (НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ)",Многоквартирный,Исправный,14233.8,14204,-,-,-,,,,,77:07:0014008:1038,d06e1a7d-c24c-4c86-8715-caca5880cc8c,,,37.4934813,55.6662239,87,POINT (37.4934813 55.6662239)
"119526, Москва г, пр-кт. Вернадского, д. 95, корп. 3",32adc9c8-c8fe-45d3-8ce0-134406ca626b,68952c80-f475-41aa-bdcb-bffc4b8544a9,45327000,ЖК,1037739581846.0,772901001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""УСПЕХ-7"" (НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ)",Многоквартирный,Исправный,5834.2,5797,нет,нет,-,,,,,77:07:0014008:1039,471419a3-0db8-4e53-a673-791209203957,,,37.4925074,55.6653424,87,POINT (37.4925074 55.6653424)
