Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108817, Москва г, п. Внуковское, д. Внуково, ул. Минская, д. 1",e03d325a-e623-4838-b523-689164c4016b,b4b7ef9c-1daf-484d-b113-f605c095d1eb,45941000,Не выбран,,,,Жилой,,136.5,,-,-,-,,,,,77:17:0000000:5332,67d36013-e273-4348-ab6b-7bfca7c013a8,,,37.497407,55.724011,66,POINT (37.497407 55.724011)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Минская, д. 3",1805e96a-9f68-4e06-a595-74bf8b1d97cc,f6ee8e4d-154a-4075-8d64-bdabb229c60b,45941000,Не выбран,,,,Жилой,,485.4,,-,-,-,,,,,77:17:0100101:767,41ac19b5-4352-43ec-a09f-26c49957ba02,,,37.4869306,55.73425899999999,66,POINT (37.4869306 55.73425899999999)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Минская, д. 5",6be8875f-294b-4cec-9544-0a601847d63d,9896a9e1-24c8-4914-8948-05a5b666401b,45941000,Не выбран,,,,Жилой,,223.4,,-,-,-,,,,,50:21:0100101:1062,d4cf1923-05cf-4b5f-8b97-b07b9b7eaadf,,,37.486193,55.735128,66,POINT (37.486193 55.735128)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Минская, д. 7",f7d4ff0b-d2b1-4630-8bf6-e6bc4e1f26ef,f7d4ff0b-d2b1-4630-8bf6-e6bc4e1f26ef,45941000,Не выбран,,,,Жилой,,176.5,,-,-,-,,,,,,94689705-7545-439c-a3b4-6e6b746810db,,,37.4853284,55.73626729999999,66,POINT (37.4853284 55.73626729999999)
"121108, Москва г, ул. Герасима Курина, д. 18",10fbc315-1e29-4e4d-aad4-078345105561,10fbc315-1e29-4e4d-aad4-078345105561,45329000,УО,1167746365269.0,773101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОРТЪ""",Многоквартирный,Исправный,8708.9,8347.60,-,-,-,,,,,77:07:0005004:1074,d05a63ab-d445-4c2b-9e4c-f785fc1becc1,,,37.4692787,55.7309876,66,POINT (37.4692787 55.7309876)
"121108, Москва г, ул. Герасима Курина, д. 2",6d33648d-3eac-40f3-a04d-7ec601eb1658,6d33648d-3eac-40f3-a04d-7ec601eb1658,45329000,УО,1157746682610.0,773101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ФИЛИ-ДАВЫДКОВО""",Многоквартирный,Исправный,3559.6,2166.3,-,-,-,,,,,,c8a70e2a-1e23-46b6-820d-697ddbbe1303,,,37.4861305,55.7353016,66,POINT (37.4861305 55.7353016)
"121108, Москва г, ул. Герасима Курина, д. 20",43b514ec-8e9a-4163-9e82-7d3dd76f16d4,43b514ec-8e9a-4163-9e82-7d3dd76f16d4,45329000,УО,1117746102308.0,773101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ КАПИТЕЛЬ""",Многоквартирный,Исправный,10115.4,8380,-,-,-,,,,,нет,8636db91-73f5-44bd-81f5-51361b2d276a,,,37.4679143,55.73082309999999,66,POINT (37.4679143 55.73082309999999)
"121108, Москва г, ул. Герасима Курина, д. 22",b4160960-c0c9-47d7-a232-7a2c09238b14,b4160960-c0c9-47d7-a232-7a2c09238b14,45329000,УО,1167746365269.0,773101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОРТЪ""",Многоквартирный,Исправный,9060.7,8511.20,-,-,-,,,,,77:07:0005004:1076,848cec7f-4493-4702-9c32-fd6a0b334f6a,,,37.4666011,55.730607,66,POINT (37.4666011 55.730607)
"121108, Москва г, ул. Герасима Курина, д. 26",0d7cb907-5d54-475b-a1d5-3df19ea09e63,0d7cb907-5d54-475b-a1d5-3df19ea09e63,45329000,УО,1167746365269.0,773101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОРТЪ""",Многоквартирный,Исправный,41756.7,28955.99,-,-,-,,,,,77:07:0005004:10234,815b2876-d204-4b7d-8dad-415c8642cde9,,,37.4651544,55.730254,66,POINT (37.4651544 55.730254)
"121108, Москва г, ул. Герасима Курина, д. 42",159c03a7-a0f5-472d-a2b2-ac71fe06e853,159c03a7-a0f5-472d-a2b2-ac71fe06e853,45329000,УО,1167746154916.0,771701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОММУНАЛЬНЫЙ СЕРВИС""",Многоквартирный,Исправный,14794.4,4782.6,-,-,-,,,,,77:07:0005004:9988,6b47adc8-d672-4f27-8beb-efc1ec4a7f28,,,37.4632606,55.730672,66,POINT (37.4632606 55.730672)
