Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108804, Москва г, п. Кокошкино, х. Брёхово, ул. Заречная, д. 16",f74af0f7-ba20-42d1-acb9-3cfe883ff81c,9ccbf1d0-89d4-4970-9335-992b1c304c50,45947000,Не выбран,,,,Жилой,Исправный,50.0,,-,-,-,,,,,,f2317469-77ad-4601-b7a5-2a3b67b06361,,,37.5060569,55.75539149999999,86,POINT (37.5060569 55.75539149999999)
"108804, Москва г, п. Кокошкино, х. Брёхово, ул. Заречная, д. 23",e59ba79f-772d-4258-ad8e-c01b73273727,263de9a4-5ca7-49ee-a3c2-20c4ccd0afc7,45947000,Не выбран,,,,Жилой,Исправный,323.0,,-,-,-,,,,,77:18:0170304:6,ad77da84-3f73-4b97-a542-d519da701922,,,37.5057076,55.7554102,86,POINT (37.5057076 55.7554102)
"108805, Москва г, п. Новофедоровское, д. Юрьево, ул. Заречная, д. 10",88078e21-e7c9-469c-89d4-8b712d0bc9ee,08f5bf95-55d1-4cc4-a0da-c0261ce38982,45954000,Не выбран,,,,Жилой,Исправный,274.4,,-,-,-,,,,,77:21:0152002:6,df241c45-2abe-4b44-9b8f-319a4302fc40,,,37.5063444,55.75527390000001,86,POINT (37.5063444 55.75527390000001)
"108805, Москва г, п. Новофедоровское, д. Юрьево, ул. Заречная, д. 12",11033c6a-fd43-4774-90d3-3b227dac7345,17c05249-3e29-4fc5-bfc0-727971c48761,45954000,Не выбран,,,,Жилой,Исправный,151.4,,-,-,-,,,,,77:22:0000000:1377,1b952520-e1cc-4589-be2d-8645637ea9cb,,,37.5061045,55.755373,86,POINT (37.5061045 55.755373)
"108805, Москва г, п. Новофедоровское, д. Юрьево, ул. Заречная, д. 14",2741b6fd-d26c-4c86-95ca-159e6a901847,f12230a5-ab6c-483a-ba12-58ae4c8a80da,45954000,Не выбран,,,,Жилой,Исправный,443.8,,-,-,-,,,,,77:21:0152001:49,c6ca3860-e645-4da0-a039-12ff70bd8f29,,,37.5060967,55.7553761,86,POINT (37.5060967 55.7553761)
"108805, Москва г, п. Новофедоровское, д. Юрьево, ул. Заречная, д. 4",0f36cba8-1ec8-4d95-a00d-6cad171d0d34,c8038de5-472d-46f1-961d-371e3736f964,45954000,Не выбран,,,,Жилой,Исправный,206.9,,-,-,-,,,,,77:21:0152001:56,5cf78ceb-86dd-4f3b-85dc-f2873f2579c4,,,37.509031,55.75367290000001,86,POINT (37.509031 55.75367290000001)
"108805, Москва г, п. Новофедоровское, д. Юрьево, ул. Заречная, д. 6",90bd793f-def2-4216-a3bd-9dd93525f33c,bb8c6ca1-1823-4200-b0f8-32bb6410c76a,45954000,Не выбран,,,,Жилой,Исправный,250.8,,-,-,-,,,,,77:21:0152001:26,375e647a-1a1a-4932-9ea1-488811463e8e,,,37.51258,55.755458,86,POINT (37.51258 55.755458)
"108805, Москва г, п. Новофедоровское, д. Юрьево, ул. Заречная, д. 8",6c51ed1d-7313-4056-994f-07602626e54a,518d14a6-f31b-48fd-a45d-ed54f82f2e1e,45954000,Не выбран,,,,Жилой,Исправный,196.6,,-,-,-,,,,,77:21:0152001:4,fee38e93-188e-41e2-8095-b961e42b008e,,,37.5069798,55.75451169999999,86,POINT (37.5069798 55.75451169999999)
"108807, Москва г, п. Первомайское, д. Ботаково, ул. Заречная, д. 11",70ad4e1f-f37c-477c-8191-43838b368fee,992684b1-a363-48ad-b03b-d2c7ebb93ac7,45955000,Не выбран,,,,Жилой,Исправный,145.5,,-,-,-,,,,,,9f8bcb28-d4b8-458a-ac00-c8bb54a22937,,,37.5052536,55.7545557,86,POINT (37.5052536 55.7545557)
"108807, Москва г, п. Первомайское, д. Ботаково, ул. Заречная, д. 117",a854fe2e-4808-4c5d-b854-e09969fa7dfb,2cb78f7e-cae5-43f2-94a6-366482edab31,45955000,Не выбран,,,,Жилой,Исправный,471.1,,-,-,-,,,,,77:18:0190402:715,87a73020-970b-4502-a217-1dd364a7c614,,,37.505949,55.755225,86,POINT (37.505949 55.755225)
