Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"119435, Москва г, пер. Большой Саввинский, д. 1",57d502b0-b357-4e7a-a946-14d8dea4d02d,57d502b0-b357-4e7a-a946-14d8dea4d02d,45383000,УО,5147746341881.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ХАМОВНИКИ""",Многоквартирный,Исправный,5654.0,5361,-,-,-,,,,,,b87398a7-fa9d-4e48-892e-8b4b932680b7,,,37.5705278,55.73590549999999,88,POINT (37.5705278 55.73590549999999)
"119435, Москва г, пер. Большой Саввинский, д. 2, строение 7",d17e70b6-7ca1-4a03-9a54-09e072b52b00,d17e70b6-7ca1-4a03-9a54-09e072b52b00,45383000,УО,5147746341881.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ХАМОВНИКИ""",Многоквартирный,Исправный,1741.0,2189,-,-,-,,,,,,73ed1117-8744-4ac8-975d-df78137a4bfa,,,37.5703127,55.7361605,88,POINT (37.5703127 55.7361605)
"119435, Москва г, пер. Большой Саввинский, д. 3",908c0fe2-cb67-4ae3-b5b7-8f909cd5c6fd,908c0fe2-cb67-4ae3-b5b7-8f909cd5c6fd,45383000,УО,5147746341881.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ХАМОВНИКИ""",Многоквартирный,Исправный,7189.0,4427,-,-,-,,,,,,8bcc58ce-be5f-4261-be89-12b8f6b39c4b,,,37.5701047,55.735869,88,POINT (37.5701047 55.735869)
"119435, Москва г, ул. Малая Пироговская, д. 11",2f07fe7a-923d-415b-8af3-f712b79b401e,2f07fe7a-923d-415b-8af3-f712b79b401e,45383000,УО,5147746341881.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ХАМОВНИКИ""",Многоквартирный,Исправный,2094.0,1924,-,-,-,,,,,,bb83a44e-afc7-44d2-8ec3-ffb86929663c,,,37.5715577,55.7297968,88,POINT (37.5715577 55.7297968)
"119435, Москва г, ул. Малая Пироговская, д. 21",2d0d1abc-2224-47c3-91c2-d51eaa7d365c,2d0d1abc-2224-47c3-91c2-d51eaa7d365c,45383000,УО,5147746341881.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ХАМОВНИКИ""",Многоквартирный,Исправный,10119.0,8022,-,-,-,,,,,,c82b7b9c-8721-41ff-8dc0-b3ebc13dcaea,,,37.5672948,55.72673899999999,88,POINT (37.5672948 55.72673899999999)
"119435, Москва г, ул. Малая Пироговская, д. 6/4, корп. 1",82c73a2b-1d65-4a70-b0fd-2fe9b9a0f5e9,82c73a2b-1d65-4a70-b0fd-2fe9b9a0f5e9,45383000,УО,5147746341881.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ХАМОВНИКИ""",Многоквартирный,Исправный,4027.0,2691,-,-,-,,,,,,02de215b-208c-4da4-9d7b-98928dfc9144,,,37.571472,55.73042599999999,88,POINT (37.571472 55.73042599999999)
"119435, Москва г, ул. Малая Пироговская, д. 6/4, корп. 2",16a896b9-ce43-46ff-b29d-bcdec2092885,0b9dbd23-5f1b-43f9-acd6-63ececd6e2f3,45383000,УО,5147746341881.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ХАМОВНИКИ""",Многоквартирный,Исправный,1506.0,1506,-,-,-,,,,,,c2e5cede-d5b3-4f4b-87c5-528dbe341b0f,,,37.571472,55.73042599999999,88,POINT (37.571472 55.73042599999999)
"119435, Москва г, ул. Малая Пироговская, д. 8",a349807e-7d35-4c41-b2c6-6a3e42ce9a0b,78c2d65b-4f4b-4854-a13b-53bc13af6be5,45383000,УО,1137746576208.0,770401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТ ЦЕНТР""",Многоквартирный,Исправный,94000.0,53455.2,-,-,-,,,,,77:01:0005008:5433,5b80901d-08af-421e-bf61-dd99701ad88f,,,37.5708928,55.72981799999999,88,POINT (37.5708928 55.72981799999999)
"119435, Москва г, ул. Малая Пироговская, д. 9/6",f5a22593-8f63-42d2-941a-ef4a85b7b670,f5a22593-8f63-42d2-941a-ef4a85b7b670,45383000,УО,5147746341881.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ХАМОВНИКИ""",Многоквартирный,Исправный,2672.0,2528,-,-,-,,,,,,393c97a3-4120-4127-9521-f150d67b4960,,,37.5719605,55.7299654,88,POINT (37.5719605 55.7299654)
"121059, Москва г, наб. Бережковская, д. 10",4a501f2f-c264-468e-94af-232326b15b1d,4a501f2f-c264-468e-94af-232326b15b1d,45318000,УО,1137746560148.0,773001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ДОРОГОМИЛОВО""",Многоквартирный,Исправный,2963.0,2076,-,-,-,,,,,нет,ead61a43-51d6-4318-8b56-c352e303875b,,,37.565209,55.739546,88,POINT (37.565209 55.739546)
"121059, Москва г, наб. Бережковская, д. 12",ae4bc35e-9a7e-4725-bdc6-53b20ae9af12,ae4bc35e-9a7e-4725-bdc6-53b20ae9af12,45318000,УО,1137746560148.0,773001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ДОРОГОМИЛОВО""",Многоквартирный,Исправный,34087.0,30024,-,-,-,,,,,нет,e71a9cef-f2a6-4f1d-8c06-67efaeedc0a8,,,37.5646129,55.7385713,88,POINT (37.5646129 55.7385713)
"121059, Москва г, наб. Бережковская, д. 14",740b88f9-7b98-4a00-8884-00200df8b863,4c05dda0-9082-46b7-b4e0-8b6cc3ef9029,45318000,УО,1137746560148.0,773001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ДОРОГОМИЛОВО""",Многоквартирный,Исправный,6549.7,4783,-,-,-,,,,,нет,6561ecd4-1a73-4897-9ce7-292c9c01da24,,,37.5640929,55.7371274,88,POINT (37.5640929 55.7371274)
