Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108807, Москва г, п. Первомайское, д. Поповка, ул. Живописная, д. 10",33c035e8-2520-4a31-ba5c-609085217685,06bcd80a-a198-4f3a-9279-5b3b973d8045,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,339.6,,-,-,-,,,,,77:18:0191002:20,34e1f793-a63a-4cbb-8712-c37b99f6b433,,,37.4563443,55.7831491,68,POINT (37.4563443 55.7831491)
"108807, Москва г, п. Первомайское, д. Поповка, ул. Живописная, д. 11",d1a6f7d3-6ede-4026-a55b-496511e1dbbe,6cc06623-9c94-44ef-80b7-4b05b0f72a7a,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,196.8,,-,-,-,,,,,77:18:0190909:246,427304bf-7f61-41d8-bdd5-f53051a902ac,,,37.4531673,55.7850652,68,POINT (37.4531673 55.7850652)
"108807, Москва г, п. Первомайское, д. Поповка, ул. Живописная, д. 13",638ef85f-145c-455f-b5b8-a25af4941c7f,638ef85f-145c-455f-b5b8-a25af4941c7f,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,155.6,,-,-,-,,,,,77:18:0190909:256,f817750c-f808-4801-9592-1b0c145ddb41,,,37.453899,55.78672419999999,68,POINT (37.453899 55.78672419999999)
"108807, Москва г, п. Первомайское, д. Поповка, ул. Живописная, д. 14",ebb2eb3a-9f23-4803-965f-e3c800535086,2c488e5e-8cec-4d60-a0f8-39786b45238d,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,179.0,,-,-,-,,,,,50:26:0051001:240,f219b735-8d9a-4129-b701-24b66d715dbe,,,37.4561753,55.7848063,68,POINT (37.4561753 55.7848063)
"108807, Москва г, п. Первомайское, д. Поповка, ул. Живописная, д. 17",3c6ea884-7d33-436d-90fc-0b0dc1adcc55,24e4c98f-3843-43c4-b8ba-63b256d3277c,45955000,Не выбран,,,,Жилой,Исправный,160.0,,-,-,-,,,,,77:18:0191002:21,8a77c27c-64a7-43ad-9d3f-22c427956246,,,37.4524761,55.7873221,68,POINT (37.4524761 55.7873221)
"108807, Москва г, п. Первомайское, д. Поповка, ул. Живописная, д. 18",14aaafc0-a28f-4576-8cc8-31e6a8bfe4ef,39550c5e-88fc-4bcd-9442-c3942e41d20c,45955000,Не выбран,,,,Жилой,Исправный,317.2,,-,-,-,,,,,77:18:0191002:3,98b02673-d72e-42bb-8539-58181a2a5170,,,37.45614380000001,55.7805262,68,POINT (37.45614380000001 55.7805262)
"108807, Москва г, п. Первомайское, д. Поповка, ул. Живописная, д. 19",5a52d3b3-d536-4e26-afc1-46ca388b019e,5a52d3b3-d536-4e26-afc1-46ca388b019e,45955000,Не выбран,,,,Жилой,Исправный,433.7,,-,-,-,,,,,77:18:0190909:165,f0cfe4af-06d3-4fd8-94d4-424eba4a9ac0,,,37.453639,55.7883253,68,POINT (37.453639 55.7883253)
"108807, Москва г, п. Первомайское, д. Поповка, ул. Живописная, д. 21",90344547-fd94-41fd-be9a-77efbd52d974,90344547-fd94-41fd-be9a-77efbd52d974,45955000,Не выбран,,,,Жилой,Исправный,217.7,,-,-,-,,,,,77:18:0191001:9,6ab0b426-3c57-4bf3-81ef-9eb77c433a45,,,37.4503534,55.79056199999999,68,POINT (37.4503534 55.79056199999999)
"108807, Москва г, п. Первомайское, д. Поповка, ул. Живописная, д. 3",d8ec3fe0-6885-4794-8306-6a4b92b3c20c,c1e8f6b4-abba-4e8e-8381-d58e2de3fc5d,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,345.0,,-,-,-,,,,,77:18:0000000:36604,b20a763e-e100-4cac-b6fd-de5959526976,,,37.4547362,55.7813577,68,POINT (37.4547362 55.7813577)
"108807, Москва г, п. Первомайское, д. Поповка, ул. Живописная, д. 7",f7df02a6-77fb-4d22-a306-993c20f5c0e8,10707eb3-3d26-4967-b9a8-ddc733aec73b,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,396.2,,-,-,-,,,,,77:18:0190909:287,4444f4ef-9aed-4a5c-b6df-8ce621605fea,,,37.455108,55.783562,68,POINT (37.455108 55.783562)
