Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"115035, Москва г, ул. Осипенко, д. 12",6bf036f3-22ca-47bf-9c62-80acc14a29ca,6bf036f3-22ca-47bf-9c62-80acc14a29ca,45909000,Не выбран,,,,Жилой,Исправный,130.1,,-,-,-,,,,,77:00:0000000:70948,8ac0d79f-cd77-4ac1-a4c0-9d629b9255a4,,,37.5331883,55.7791444,80,POINT (37.5331883 55.7791444)
"115035, Москва г, ул. Осипенко, д. 13",b51540a4-8e90-47f6-beac-1c5b3e774b4f,b51540a4-8e90-47f6-beac-1c5b3e774b4f,45909000,Не выбран,,,,Жилой,Исправный,94.6,,-,-,-,,,,,77:06:0012020:1420,51430f66-8ff8-4557-aef4-c940bcb345b7,,,37.5322432,55.7793475,80,POINT (37.5322432 55.7793475)
"115035, Москва г, ул. Осипенко, д. 15",12585e11-6351-4f80-afa8-12d060595cdb,12585e11-6351-4f80-afa8-12d060595cdb,45909000,Не выбран,,,,Жилой,Исправный,105.3,,-,-,-,,,,,77:06:0012020:1422,0c608ab4-c1c1-427c-99ee-e9a86877f071,,,37.5299707,55.7798613,80,POINT (37.5299707 55.7798613)
"115035, Москва г, ул. Осипенко, д. 7",d6d540f9-973a-41b6-b9c4-644cb38c5200,d6d540f9-973a-41b6-b9c4-644cb38c5200,45909000,Не выбран,,,,Жилой,Исправный,68.6,,-,-,-,,,,,77:00:0000000:71065,ff71c473-a525-4b24-835f-24b814d0dc53,,,37.5354554,55.77864940000001,80,POINT (37.5354554 55.77864940000001)
"123007, Москва г, пер. Магистральный, д. 5",9e89eee2-6687-4ee8-bc4e-9b9f69d7883c,9e89eee2-6687-4ee8-bc4e-9b9f69d7883c,45348000,УО,1157746504596.0,771401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ХОРОШЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,3091.5,2603.1,-,-,-,,,,,77:09:0005011:1037,5536b7f1-0ac5-4d56-8cea-f7a7b7ad9007,,,37.5217093,55.77334370000001,80,POINT (37.5217093 55.77334370000001)
"123007, Москва г, пер. Магистральный, д. 5А",3d460eae-e117-4b74-ab37-f1578311b1af,3d460eae-e117-4b74-ab37-f1578311b1af,45348000,УО,1157746504596.0,771401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ХОРОШЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,3016.5,2594.1,-,-,-,,,,,77:09:0005011:1038,639d9b1d-e581-455b-a80d-7faad8de84b6,,,37.5243133,55.7731636,80,POINT (37.5243133 55.7731636)
"123007, Москва г, пер. Магистральный, д. 7, корп. 1",91c097cd-f393-4cd7-be36-4a58657ac9fd,91c097cd-f393-4cd7-be36-4a58657ac9fd,45348000,УО,1157746504596.0,771401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ХОРОШЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,1735.1,1735.1,-,-,-,,,,,77:09:0005011:1035,9a3323d7-0b08-4bf7-9bcd-66dd77137300,,,37.524956,55.773377,80,POINT (37.524956 55.773377)
"123007, Москва г, пер. Магистральный, д. 7, корп. 2",bb1a5e70-7ad0-4343-86aa-647e666f8221,bb1a5e70-7ad0-4343-86aa-647e666f8221,45348000,УО,1157746504596.0,771401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ХОРОШЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,3395.7,2719.3,-,-,-,,,,,77:09:0005011:1036,0d3833b0-70c4-434e-a5a1-7eda3da48861,,,37.525431,55.772901,80,POINT (37.525431 55.772901)
"123007, Москва г, проезд. 2-й Хорошёвский, д. 3",53e4e4c1-9ad4-46e0-945a-ee80092393e2,53e4e4c1-9ad4-46e0-945a-ee80092393e2,45348000,УО,1157746504596.0,771401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ХОРОШЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,3580.9,2766.6,-,-,-,,,,,77:09:0005012:1035,c101337f-552c-452a-a29c-702dbe6ee8d8,,,37.5365566,55.7747869,80,POINT (37.5365566 55.7747869)
"123007, Москва г, проезд. 2-й Хорошёвский, д. 5",50921f48-ab01-440c-8ccb-351a8d5b9b1e,50921f48-ab01-440c-8ccb-351a8d5b9b1e,45348000,Не выбран,,,,Многоквартирный,Исправный,7469.0,,-,-,-,,,,,,26bb57bc-379e-497f-a86e-9b47887b1071,,,37.5346919,55.7743464,80,POINT (37.5346919 55.7743464)
