Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108807, Москва г, п. Первомайское, д. Пучково, ул. Весёлая, д. 11",5ef65919-34e9-4381-8d73-b6d0d6ef0c95,5ef65919-34e9-4381-8d73-b6d0d6ef0c95,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,456.8,,-,-,-,,,,,77:18:0191401:244,bc80ac84-40d9-4407-b8c9-472c29699ac8,,,37.6632975,55.62270419999999,69,POINT (37.6632975 55.62270419999999)
"108807, Москва г, п. Первомайское, д. Пучково, ул. Весёлая, д. 13",370b2901-21b9-4707-834c-a9d4fcc61af5,f529cbf3-eb49-4aaf-a1bc-6b87f6b0bde8,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,196.0,,-,-,-,,,,,77:18:0190402:367,61bc646d-e301-4e13-a761-f5c7a969e68d,,,37.6637061,55.6232414,69,POINT (37.6637061 55.6232414)
"108807, Москва г, п. Первомайское, д. Пучково, ул. Весёлая, д. 19",4eb057a6-ed9a-480e-9108-0923f814773c,f1fafb0f-5aab-4355-9ee2-93acc86cdda1,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,293.6,,-,-,-,,,,,77:18:0190402:320,1623cfa2-10a9-4d02-8eac-b4f86e6f6778,,,37.6635624,55.6233467,69,POINT (37.6635624 55.6233467)
"108807, Москва г, п. Первомайское, д. Пучково, ул. Весёлая, д. 21",2077f485-5ac1-498c-8d43-289ec17fcffe,dbd97eca-0b3d-47af-a647-3df31d29f9a7,45955000,Не выбран,,,,Жилой,Исправный,191.4,,-,-,-,,,,,50:26:0191401:966,d1df8cea-e04c-47e6-8579-6e3d571a5a0a,,,37.6635145,55.6233818,69,POINT (37.6635145 55.6233818)
"108807, Москва г, п. Первомайское, д. Пучково, ул. Весёлая, д. 5",611821fc-616b-42e3-9f46-c55739f8e43a,611821fc-616b-42e3-9f46-c55739f8e43a,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,324.8,,-,-,-,,,,,77:18:0191401:234,c1bf1915-d44f-4ed1-bc16-67348be29048,,,37.6651591,55.6219076,69,POINT (37.6651591 55.6219076)
"108807, Москва г, п. Первомайское, д. Пучково, ул. Весёлая, д. 7",050709a8-ec25-4a85-aec9-643beb174e34,4884b754-9b51-417e-8655-586a320dbe1b,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,360.1,,-,-,-,,,,,77:18:0191401:262,dbd95c1c-d551-414d-8248-0fac2f1a3f1e,,,37.6647869,55.6222339,69,POINT (37.6647869 55.6222339)
"108807, Москва г, п. Первомайское, д. Пучково, ул. Весёлая, д. 9",7d80e437-4102-45d1-8ffa-a656b157c0a6,7d80e437-4102-45d1-8ffa-a656b157c0a6,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,459.9,,-,-,-,,,,,77:18:0191401:359,79f98d9a-ba01-4497-9ebf-8e5dc483f731,,,37.6647839,55.6227292,69,POINT (37.6647839 55.6227292)
"115304, Москва г, б-р. Кавказский, д. 11",af355563-7862-47a9-9698-69d2a308c920,af355563-7862-47a9-9698-69d2a308c920,45923000,УО,1157746524253.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЦАРИЦЫНО""",Многоквартирный,Исправный,3648.2,3645.5,-,-,-,,,,,77:05:0005009:1032,ed8f0e32-7994-434f-9eea-07a11adaf0ab,,,37.6702802,55.6331688,69,POINT (37.6702802 55.6331688)
"115304, Москва г, б-р. Кавказский, д. 15",70550aea-5e4d-4357-99b9-1022eeec4877,70550aea-5e4d-4357-99b9-1022eeec4877,45923000,УО,1157746524253.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЦАРИЦЫНО""",Многоквартирный,Исправный,3632.9,3632.9,-,-,-,,,,,77:05:0005009:1034,a5552895-3c27-4ee9-bcd8-2d0a4101a231,,,37.668772,55.6324415,69,POINT (37.668772 55.6324415)
"115304, Москва г, б-р. Кавказский, д. 21",ae94f215-c03b-4834-9dc3-03fc5ad252a7,ae94f215-c03b-4834-9dc3-03fc5ad252a7,45923000,УО,1157746524253.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЦАРИЦЫНО""",Многоквартирный,Исправный,3607.0,3607.0,-,-,-,,,,,77:05:0005009:1041,8383389f-8544-4cb9-be7d-85032281d003,,,37.6674588,55.63117200000001,69,POINT (37.6674588 55.63117200000001)
"115304, Москва г, б-р. Кавказский, д. 21, корп. 2",b5a31457-f79a-4261-8c0d-851edeb58b8c,b5a31457-f79a-4261-8c0d-851edeb58b8c,45923000,УО,1157746524253.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЦАРИЦЫНО""",Многоквартирный,Исправный,3634.4,3633.8,-,-,-,,,,,77:05:0005009:1042,e039b70b-2aac-4732-a7ac-fe5aebe72b18,,,37.66745,55.631211,69,POINT (37.66745 55.631211)
