Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108807, Москва г, п. Первомайское, д. Поповка, ул. Живописная, д. 27",3f3db448-1be7-4b68-bea6-4bdc73d14a52,bd2b42dc-1562-4951-bc37-6043c5868929,45955000,Не выбран,,,,Жилой,Исправный,348.0,,-,-,-,,,,,77:18:0190909:245,d236abc6-b3ed-4da3-b028-036316f26122,,,37.44999300000001,55.7988674,73,POINT (37.44999300000001 55.7988674)
"108807, Москва г, п. Первомайское, д. Поповка, ул. Живописная, д. 29",dd7ccf56-c235-4b0e-9030-957cdc6009bd,1c4e4450-0adc-4acc-b5fc-4303e419bd75,45955000,Не выбран,,,,Жилой,Исправный,476.6,,-,-,-,,,,,77:21:0000000:2099,e1b86ef5-ea48-4b42-85b7-45ea44600715,,,37.4501376,55.7994186,73,POINT (37.4501376 55.7994186)
"123060, Москва г, проезд. 1-й Волоколамский, д. 11, корп. 1",aaaf1f1f-dd4d-41d5-8792-1149f7676542,aaaf1f1f-dd4d-41d5-8792-1149f7676542,45372000,УО,5137746235611.0,773401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЩУКИНО""",Многоквартирный,Исправный,3055.6,2358.7,-,-,-,,,,,77:08:0009020:1006,e3fd2518-faed-4880-988a-90bcdb27244d,,,37.49063200000001,55.801946,73,POINT (37.49063200000001 55.801946)
"123060, Москва г, проезд. 1-й Волоколамский, д. 11, корп. 2",a7f5a5c6-6c44-4d59-8f62-c32e06a49152,a7f5a5c6-6c44-4d59-8f62-c32e06a49152,45372000,УО,5137746235611.0,773401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЩУКИНО""",Многоквартирный,Исправный,3054.5,2535.2,-,-,-,,,,,77:08:0009020:1007,4ac38712-e7b9-49db-98df-5fef20d2dc47,,,37.489847,55.801748,73,POINT (37.489847 55.801748)
"123060, Москва г, проезд. 1-й Волоколамский, д. 11, корп. 3",29d734ed-3cc8-4f08-93fc-91971c6d51b1,29d734ed-3cc8-4f08-93fc-91971c6d51b1,45372000,УО,5137746235611.0,773401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЩУКИНО""",Многоквартирный,Исправный,3024.3,2520.9,-,-,-,,,,,77:08:0009020:1008,970959e0-381e-43a4-812f-5bc6a69b7c0a,,,37.48902760000001,55.8014774,73,POINT (37.48902760000001 55.8014774)
"123060, Москва г, проезд. 1-й Волоколамский, д. 13",f14f3fdf-7d18-415a-8ac8-1f9099a0b6bd,f14f3fdf-7d18-415a-8ac8-1f9099a0b6bd,45372000,УО,5137746235611.0,773401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЩУКИНО""",Многоквартирный,Исправный,3045.0,2522.8,-,-,-,,,,,77:08:0009020:1009,d0906b43-b472-4755-83eb-bfb0a61b6b9b,,,37.4899611,55.8025081,73,POINT (37.4899611 55.8025081)
"123060, Москва г, проезд. 1-й Волоколамский, д. 15/16",4f03f1d7-483a-49b2-acce-5ba4063895e6,4f03f1d7-483a-49b2-acce-5ba4063895e6,45372000,УО,5137746235611.0,773401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЩУКИНО""",Многоквартирный,Исправный,4321.7,4031.4,-,-,-,,,,,77:08:0009020:1020,76f107a9-9361-414b-a486-8e05c6507efd,,,37.489464,55.803273,73,POINT (37.489464 55.803273)
"123060, Москва г, проезд. 1-й Волоколамский, д. 2",6dad46ac-6bda-4c5e-82fe-1b740c6234e9,6dad46ac-6bda-4c5e-82fe-1b740c6234e9,45372000,УО,5137746235611.0,773401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЩУКИНО""",Многоквартирный,Исправный,3426.2,3426.2,-,-,-,,,,,77:08:0009016:1005,c7d94711-c049-48ea-a578-6d816f4ea751,,,37.4945011,55.8002031,73,POINT (37.4945011 55.8002031)
"123060, Москва г, проезд. 1-й Волоколамский, д. 4",ad6bef42-f1fe-442f-b0d5-0daf2ff96246,ad6bef42-f1fe-442f-b0d5-0daf2ff96246,45372000,УО,5137746235611.0,773401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЩУКИНО""",Многоквартирный,Исправный,2486.3,2477.9,-,-,-,,,,,77:08:0009016:1006,3c96012f-82c0-4f5d-9f74-70f4bd2c07ee,,,37.493498,55.800602,73,POINT (37.493498 55.800602)
"123060, Москва г, проезд. 1-й Волоколамский, д. 5",57c094ad-adea-496f-b99c-02c9db53e1ff,57c094ad-adea-496f-b99c-02c9db53e1ff,45372000,УО,5137746235611.0,773401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЩУКИНО""",Многоквартирный,Исправный,2481.4,2481.9,-,-,-,,,,,77:08:0009029:1001,18b4aea1-ba34-406d-ba6d-05bec1f0ad98,,,37.4932944,55.79972489999999,73,POINT (37.4932944 55.79972489999999)
