Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108814, Москва г, п. Сосенское, д. Бачурино, проезд. Тюляевский, д. 13",2f9050fa-9fca-4079-8c39-7ecf521c3f86,a95330af-2005-47ac-abbe-f3c2eedbfd44,45958000,Не выбран,,,,Жилой,,365.7,,-,-,-,,,,,,87982b05-ae1d-45fc-a3a7-98a8a0195c68,,,37.565587,55.5506515,74,POINT (37.565587 55.5506515)
"108814, Москва г, п. Сосенское, д. Бачурино, ул. Тюляевская, д. 13",74200bf0-8e99-4914-8443-8f3d2e0313ed,6b254c40-87ea-47ff-8a49-e3699c72a0c4,45958000,Не выбран,,,,Жилой,,113.6,,-,-,-,,,,,,2f7cdd61-b265-4094-ba09-f0b0b5f293cd,,,37.565587,55.5506515,74,POINT (37.565587 55.5506515)
"108814, Москва г, п. Сосенское, кв-л 187, д. 62, строение 1",87cdab12-8687-4ef1-b9f6-abc9f70bb773,87cdab12-8687-4ef1-b9f6-abc9f70bb773,45958000,Не выбран,,,,Жилой дом блокированной застройки,,197.0,,-,-,-,,,,,,73f9e32b-4711-434d-8456-c5c4790b64d0,,,37.5993,55.5019465,74,POINT (37.5993 55.5019465)
"108814, Москва г, п. Сосенское, п. Коммунарка, д. 13",4c79c6dc-abfe-4610-b956-462e4594289f,7fd6caa7-416b-4809-855f-d1c5100f7538,45958000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,2935.3,2913.6,-,-,-,,,,,50:21:0120303:1778,4ced53bb-6a52-4454-8c36-9f66e500f784,,,37.565587,55.5506515,74,POINT (37.565587 55.5506515)
"108814, Москва г, п. Сосенское, п. Коммунарка, д. 22",6c50ff4e-6171-4995-a3e2-f19c5426c8e5,e1f2e3a8-4c63-4baa-a39a-16ca6a2580d7,45958000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,12929.5,12932.1,-,-,-,,,,,50:21:0120303:1839,219dc1d0-40a5-40f5-b6b7-867731e322fb,,,37.560681,55.55265,74,POINT (37.560681 55.55265)
"108823, Москва г, п. Рязановское, кв-л 123, д. 76, строение 1",d5f53acb-9494-4f99-8641-c08e45cde22c,d5f53acb-9494-4f99-8641-c08e45cde22c,45957000,Не выбран,,,,Жилой,Исправный,137.5,,-,-,-,,,,,,10c4c6bd-67cc-4d2d-acfa-b1fa34a79313,,,37.5993,55.5019465,74,POINT (37.5993 55.5019465)
"108823, Москва г, п. Рязановское, тер. СНТ Березки, д. 2/23, строение 1",f98dbf75-943f-486d-8a55-078c967de7ea,9a96b13a-e144-417b-a318-417fc1a2598c,45957000,Не выбран,,,,Жилой,Исправный,214.2,,-,-,-,,,,,,5193e2c6-38ae-4b81-a2e7-3c383d080805,,,37.5993,55.5019465,74,POINT (37.5993 55.5019465)
"108823, Москва г, п. Рязановское, тер. СНТ Березки, д. 2/35, строение 1",40ea4c7a-39ee-481e-ade1-db9dbcd7eded,67290d67-a32f-4cae-a405-05576697b0d5,45957000,Не выбран,,,,Жилой,Исправный,79.1,,-,-,-,,,,,,99c01244-287e-4a77-9ff2-1b69a8819eb4,,,37.5993,55.5019465,74,POINT (37.5993 55.5019465)
"108824, Москва г, п. Рязановское, кв-л 31, д. 139, строение 1",de851b28-ced5-4f79-b98b-75ef252a7235,de851b28-ced5-4f79-b98b-75ef252a7235,45957000,Не выбран,,,,Жилой,Исправный,101.6,,-,-,-,,,,,,dc7fa35a-f771-4f64-8073-f29af9c4b58f,,,37.5993,55.5019465,74,POINT (37.5993 55.5019465)
"108824, Москва г, п. Рязановское, кв-л 31, д. 152, строение 1",385733b0-ca5b-4454-bc32-f058993538fd,385733b0-ca5b-4454-bc32-f058993538fd,45957000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,d0e40f65-88ad-4187-98e8-6c9cba2bf5c2,,,37.5993,55.5019465,74,POINT (37.5993 55.5019465)
