Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"127081, Москва г, ул. Заповедная, д. 2",a5929da5-c7b7-428d-8a37-753b12e98325,a5929da5-c7b7-428d-8a37-753b12e98325,45364000,УО,1157746494971.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ МЕДВЕДКОВО""",Многоквартирный,Исправный,8512.1,8857,-,-,-,Жилое,,134.0,,77:02:0006005:2125,c5e51d7a-fc3a-4c9a-a3de-2ce3b2274414,431dd98a-a38a-4d2a-8244-ea9464c7d373,,37.6305566,55.8690408,75,POINT (37.6305566 55.8690408)
"127081, Москва г, ул. Заповедная, д. 4",d6639f21-edc4-40e1-b4d8-bcc7aa654dae,d6639f21-edc4-40e1-b4d8-bcc7aa654dae,45364000,УО,1157746494971.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ МЕДВЕДКОВО""",Многоквартирный,Исправный,8803.4,9079,-,-,-,,,,,77:02:0006005:1006,36e25abe-f36a-4947-9b86-bc125bf289b0,,,37.6312307,55.8682888,75,POINT (37.6312307 55.8682888)
"127081, Москва г, ул. Заповедная, д. 6",03ac5415-1725-4c5a-834d-268a71784433,03ac5415-1725-4c5a-834d-268a71784433,45364000,УО,1157746494971.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ МЕДВЕДКОВО""",Многоквартирный,Исправный,5921.4,5835,-,-,-,,,,,77:02:0006005:1007,88541a9f-a55c-4a9f-b803-f2666042f8fd,,,37.6321969,55.8681164,75,POINT (37.6321969 55.8681164)
"127081, Москва г, ул. Заповедная, д. 8",e5b6aa1f-a849-43fd-8ec0-e6c46b2334f5,e5b6aa1f-a849-43fd-8ec0-e6c46b2334f5,45364000,УО,1157746494971.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ МЕДВЕДКОВО""",Многоквартирный,Исправный,8786.6,8787,-,-,-,,,,,77:02:0006005:1008,3b245d77-e941-4f12-b70f-db31a6253b60,,,37.6332859,55.8673954,75,POINT (37.6332859 55.8673954)
"127081, Москва г, ул. Заповедная, д. 8, корп. 1",219e1f24-bcd2-4fb5-8999-ba49143ab12e,219e1f24-bcd2-4fb5-8999-ba49143ab12e,45364000,УО,1157746494971.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ МЕДВЕДКОВО""",Многоквартирный,Исправный,13180.9,13183,-,-,-,,,,,77:02:0006005:1009,a6330867-13ed-45fc-8ba6-48276b49fb10,,,37.63468400000001,55.86783,75,POINT (37.63468400000001 55.86783)
"127081, Москва г, ул. Молодцова, д. 23, корп. 2",61969a23-ea17-4711-b07a-a01d34026ff7,3709b368-e91a-4a1e-9dca-e67f54d3a812,45364000,УО,1157746494971.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ МЕДВЕДКОВО""",Многоквартирный,Исправный,22923.8,22114,-,-,-,,,,,77:02:0006002:1100,14d6289b-c408-4073-b30e-288054674a5a,,,37.6284223,55.8772032,75,POINT (37.6284223 55.8772032)
"127081, Москва г, ул. Молодцова, д. 25, корп. 2",c5006d8d-4bba-46df-b481-6f2774286523,b550571d-0b19-4279-8b46-0a4191466e52,45364000,УО,1157746494971.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ МЕДВЕДКОВО""",Многоквартирный,Исправный,16888.7,16063,-,-,-,,,,,77:02:0006002:1101,dcd8cb3c-0bd1-43b0-9b52-1b49a07d6812,,,37.627529,55.87819,75,POINT (37.627529 55.87819)
"127081, Москва г, ул. Молодцова, д. 27, корп. 1",d429fae3-ccf8-4955-aef4-3c8c65441c91,d429fae3-ccf8-4955-aef4-3c8c65441c91,45364000,УО,1157746494971.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ МЕДВЕДКОВО""",Многоквартирный,Исправный,3961.0,3961,-,-,-,,,,,77:02:0006002:1031,ff1a1b7a-3b26-4caf-a3af-1330569bb456,,,37.6265349,55.878763,75,POINT (37.6265349 55.878763)
"127081, Москва г, ул. Молодцова, д. 27, корп. 2",808657d2-cf1a-4600-a82a-9dec2d807aa0,9b0c81ed-ef55-480a-a526-ef54d17b7c6a,45364000,УО,1157746494971.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ МЕДВЕДКОВО""",Многоквартирный,Исправный,6081.4,5587,-,-,-,,,,,77:02:0006002:1114,ae07837a-fea6-403e-92e9-ff65b2bbba01,,,37.626239,55.878083,75,POINT (37.626239 55.878083)
"127081, Москва г, ул. Молодцова, д. 27, корп. 3",01951163-9f07-4509-b01c-9bd354ac5f6a,4744683b-3d7b-466e-8b53-4aaf4808562f,45364000,УО,1157746494971.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ МЕДВЕДКОВО""",Многоквартирный,Исправный,11429.6,11099,-,-,-,,,,,77:02:0006002:1115,a7ab0555-63bf-405f-97e5-0b44bf021141,,,37.6265266,55.8773324,75,POINT (37.6265266 55.8773324)
"127081, Москва г, ул. Молодцова, д. 29, корп. 2",6fc0e12d-af1e-411b-9a61-398f0721b566,45fbb41c-192f-4be9-9684-c48749f405ff,45364000,УО,1197746369688.0,772401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТЛАС""",Многоквартирный,Исправный,20329.5,,нет,нет,-,,,,,77:02:0006002:1112,31a524da-674a-4534-9398-9da92168963a,,,37.624775,55.878686,75,POINT (37.624775 55.878686)
"127081, Москва г, ул. Молодцова, д. 31, корп. 1",96212f32-b414-4e29-8f37-f0605fd46bec,96212f32-b414-4e29-8f37-f0605fd46bec,45364000,УО,1157746494971.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ МЕДВЕДКОВО""",Многоквартирный,Исправный,4529.1,4529.1,-,-,-,,,,,77:02:0006002:1032,be72e08a-e2f4-44dd-9a18-d5f1d7794844,,,37.6231811,55.8790588,75,POINT (37.6231811 55.8790588)
"127081, Москва г, ул. Молодцова, д. 31, корп. 2",7c392740-e759-465d-bc12-59c58856219f,1d1a9daa-d2b6-4c98-8efe-d90b4ad3a27f,45364000,УО,1197746062084.0,771501001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ИНФОРМАТ""",Многоквартирный,Исправный,15972.6,6135.9,-,-,-,,,,,77:02:0006002:14166,9f83e7fc-da3c-4bdb-9123-11b6f9fb05b9,,,37.6231649,55.87813749999999,75,POINT (37.6231649 55.87813749999999)
"127081, Москва г, ул. Молодцова, д. 31, корп. 3",83a805d5-2bb5-4153-841c-534d901e113c,c3bb7dde-a4fa-4426-9ae1-ca3dbbf98c14,45364000,УО,1197746062084.0,771501001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ИНФОРМАТ""",Многоквартирный,Исправный,15113.8,10769.7,-,-,-,,,,,77:02:0006002:14374,f59585bf-2411-46c2-9247-f05d74eba547,,,37.6226364,55.8782258,75,POINT (37.6226364 55.8782258)
"127081, Москва г, ул. Молодцова, д. 33, корп. 1",a9c04b05-df72-4f7f-abc6-7958631adda2,862b8592-0b99-4201-b0ed-2b08dad6d5e1,45364000,УО,1157746494971.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЮЖНОЕ МЕДВЕДКОВО""",Многоквартирный,Исправный,19828.4,10975.2,-,-,-,,,,,77:02:0006002:16075,1368d593-a8ba-49ba-9028-72628d32f536,,,37.6216357,55.8793827,75,POINT (37.6216357 55.8793827)
