Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108805, Москва г, п. Новофедоровское, д. Яковлевское, ул. Полянка, д. 1а",5ff664d8-0fe1-487b-9d54-a5f7de3b1bc1,b97ad3b9-dc76-4f11-97f1-f7cfea0c4169,45954000,Не выбран,,,,Жилой,Исправный,547.9,,-,-,-,,,,,50:26:0150202:468,583238b9-dcee-4c0e-9229-a2a402a06fe5,,,37.6163089,55.7419496,89,POINT (37.6163089 55.7419496)
"108805, Москва г, п. Новофедоровское, д. Яковлевское, ул. Полянка, д. 2",c1be213b-f5ef-4a39-a7d9-559c1c07c4a7,02c0cc79-5245-466a-9002-852d875274a5,45954000,Не выбран,,,,Жилой,Исправный,83.7,,-,-,-,,,,,77:21:0150202:400,11010908-6d48-4f26-9ba2-19cbe9d2954e,,,37.6157866,55.7417327,89,POINT (37.6157866 55.7417327)
"108805, Москва г, п. Новофедоровское, д. Яковлевское, ул. Полянка, д. 2А",6b0adf70-3fa8-41aa-9e9c-8e9382311f11,6b0adf70-3fa8-41aa-9e9c-8e9382311f11,45954000,Не выбран,,,,Жилой,Исправный,84.0,,-,-,-,,,,,77:21:0150202:399,56f204fa-7d4f-4c6d-b8b7-52667ecef963,,,37.6157866,55.7417327,89,POINT (37.6157866 55.7417327)
"108805, Москва г, п. Новофедоровское, д. Яковлевское, ул. Полянка, д. 2Б",89feaede-876d-458a-88e2-325311ecb1fe,89feaede-876d-458a-88e2-325311ecb1fe,45954000,Не выбран,,,,Жилой,Исправный,83.9,,-,-,-,,,,,77:21:0140405:271,cbd23f8b-b595-4fb6-bd3d-9c558a34da2c,,,37.6157866,55.7417327,89,POINT (37.6157866 55.7417327)
"108805, Москва г, п. Новофедоровское, д. Яковлевское, ул. Полянка, д. 5",6f4ad0ec-6c73-4465-8feb-9e51ccc74f9a,5815615c-4064-4edb-9b98-52e4797a3c2f,45954000,Не выбран,,,,Жилой,Исправный,87.1,,-,-,-,,,,,50:26:0150202:439,4495c5dc-630e-4f54-9b94-c33a38ae360d,,,37.6166837,55.7408966,89,POINT (37.6166837 55.7408966)
"108805, Москва г, п. Новофедоровское, д. Яковлевское, ул. Полянка, д. 6",517b5bb9-03c2-4c5a-8dc4-5e2ec33b2465,517b5bb9-03c2-4c5a-8dc4-5e2ec33b2465,45954000,Не выбран,,,,Жилой,Исправный,117.0,,-,-,-,,,,,77:21:0140405:29,964e7234-a1ea-40bd-b840-31998397f857,,,37.6171202,55.7406758,89,POINT (37.6171202 55.7406758)
"108805, Москва г, п. Новофедоровское, д. Яковлевское, ул. Полянка, д. 6А",1b11e3a3-a459-4916-a058-7c694113cec0,82be8441-920c-440d-a502-b782403ea6c9,45954000,Не выбран,,,,Жилой,Исправный,259.3,,-,-,-,,,,,77:21:0140405:235,d529c29c-9287-411c-bb05-2eb91b8b89e6,,,37.6171202,55.7406758,89,POINT (37.6171202 55.7406758)
"115035, Москва г, наб. Софийская, д. 30, строение 6",93fc5b49-7761-4a7c-b996-3c6bb689759f,93fc5b49-7761-4a7c-b996-3c6bb689759f,45384000,Не выбран,,,,Жилой,Исправный,82.5,,-,-,-,,,,,77:01:0002021:1037,3f744d49-a25e-4740-9c99-cc0a16f8b201,,,37.6219337,55.7466909,89,POINT (37.6219337 55.7466909)
"115035, Москва г, пер. 1-й Кадашёвский, д. 11/5, строение 4",1074f75c-58f9-4693-8839-8eceab5bfee8,1074f75c-58f9-4693-8839-8eceab5bfee8,45384000,Не выбран,,,,Жилой,Исправный,1162.4,,-,нет,-,,,,,,309b5528-6ff3-4250-92e6-ff937da3b3a4,,,37.6225782,55.7426341,89,POINT (37.6225782 55.7426341)
"115035, Москва г, пер. 2-й Кадашевский, д. 14, строение 1",7f3fe9d9-d808-45a3-b92a-04a01f3ef699,7f3fe9d9-d808-45a3-b92a-04a01f3ef699,45384000,Непосредственное управление,,,,Многоквартирный,Исправный,521.0,,-,-,-,,,,,77:01:0002016:1050,1f93597d-a120-43de-8776-fb1e9f2f0872,,,37.6223962,55.7438687,89,POINT (37.6223962 55.7438687)
