Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"129337, Москва г, проезд. Хибинский, д. 14",ee626a60-852c-4b51-bb35-8b330468390a,ee626a60-852c-4b51-bb35-8b330468390a,45365000,УО,5147746319254.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЯРОСЛАВСКОГО РАЙОНА""",Многоквартирный,Исправный,6066.3,6057.0,-,-,-,,,,,77:02:0016004:1004,5597d005-b827-4b12-87e7-efb0e040b4f6,,,37.6827343,55.8584051,81,POINT (37.6827343 55.8584051)
"129337, Москва г, проезд. Хибинский, д. 26",ede0ab24-21d7-4da2-9afa-7676d54e9abc,ede0ab24-21d7-4da2-9afa-7676d54e9abc,45365000,УО,5147746319254.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЯРОСЛАВСКОГО РАЙОНА""",Многоквартирный,Исправный,3604.9,3301.0,-,-,-,,,,,77:02:0013010:1006,26255eba-f98d-4aa8-8a4a-2c8c9d56c2ee,,,37.6887827,55.86265340000001,81,POINT (37.6887827 55.86265340000001)
"129337, Москва г, проезд. Хибинский, д. 28",a20a58c2-0c91-4940-8376-5f97e185f87c,a20a58c2-0c91-4940-8376-5f97e185f87c,45365000,УО,5147746319254.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЯРОСЛАВСКОГО РАЙОНА""",Многоквартирный,Исправный,1623.4,1623.0,-,-,-,,,,,77:02:0013010:1007,f9910e1e-6284-4acd-b30d-47b997a111dd,,,37.689496,55.863184,81,POINT (37.689496 55.863184)
"129337, Москва г, проезд. Хибинский, д. 30, корп. 1",4b956e31-a79a-4f7e-b701-9193d9a2b16e,4b956e31-a79a-4f7e-b701-9193d9a2b16e,45365000,УО,5147746319254.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЯРОСЛАВСКОГО РАЙОНА""",Многоквартирный,Исправный,5489.4,5489.4,-,-,-,,,,,77:02:0013010:1008,7bc41a32-75eb-4cbb-ac0c-6f5828bad7bd,,,37.6909584,55.8636557,81,POINT (37.6909584 55.8636557)
"129337, Москва г, проезд. Хибинский, д. 30, корп. 2",ee9f9c33-8a9e-41ea-b6d8-28f24fec40bb,ee9f9c33-8a9e-41ea-b6d8-28f24fec40bb,45365000,УО,5147746319254.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЯРОСЛАВСКОГО РАЙОНА""",Многоквартирный,Исправный,5446.3,5446.3,-,-,-,,,,,77:02:0013010:1009,66391b25-07b3-4d72-82d2-1fe85a37043e,,,37.6907515,55.863195,81,POINT (37.6907515 55.863195)
"129337, Москва г, проезд. Хибинский, д. 32",7f6bd279-88f6-4b05-81c6-5ea99f98eb6a,7f6bd279-88f6-4b05-81c6-5ea99f98eb6a,45365000,УО,5147746319254.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЯРОСЛАВСКОГО РАЙОНА""",Многоквартирный,Исправный,1151.8,878.0,-,-,-,,,,,77:02:0013010:1010,f47016a8-ecb3-45ab-8f6d-d76e890067ed,,,37.6914147,55.8649694,81,POINT (37.6914147 55.8649694)
"129337, Москва г, ул. Вешних Вод, д. 2, корп. 2",d3f9a923-b041-4b74-8084-32f6cc5ef89e,8e7d295f-4287-4de8-a66c-a48090ba72d2,45365000,УО,5147746319254.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЯРОСЛАВСКОГО РАЙОНА""",Многоквартирный,Исправный,15466.6,15052.0,-,-,-,,,,,77:02:0016003:1048,a537a198-5892-43d3-a326-26791d0db99d,,,37.6987183,55.85733759999999,81,POINT (37.6987183 55.85733759999999)
"129337, Москва г, ул. Вешних Вод, д. 2, корп. 3",9d7d59d9-7604-4702-a133-326775c73c04,9d7d59d9-7604-4702-a133-326775c73c04,45365000,УО,5147746319254.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЯРОСЛАВСКОГО РАЙОНА""",Многоквартирный,Исправный,2025.3,1951.0,-,-,-,,,,,77:02:0016003:1004,b68f4ae1-104d-42f2-86a2-64c1a3362441,,,37.6986685,55.8565833,81,POINT (37.6986685 55.8565833)
"129337, Москва г, ул. Вешних Вод, д. 2, корп. 4",b2b6b789-e2d0-47b3-9e82-4611aaa4c3c0,b2b6b789-e2d0-47b3-9e82-4611aaa4c3c0,45365000,УО,5147746319254.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЯРОСЛАВСКОГО РАЙОНА""",Многоквартирный,Исправный,2001.7,2002.0,-,-,-,,,,,77:02:0016003:1045,30fc0af4-cd49-4f93-ab86-fa45153cac55,,,37.6994326,55.856309,81,POINT (37.6994326 55.856309)
"129337, Москва г, ул. Вешних Вод, д. 2, корп. 5",4f4e68ba-1b12-4f3b-830d-65d11ca7bf43,4f4e68ba-1b12-4f3b-830d-65d11ca7bf43,45365000,УО,5147746319254.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЯРОСЛАВСКОГО РАЙОНА""",Многоквартирный,Исправный,17227.6,17178.0,-,-,-,,,,,77:02:0016003:1050,034536c9-7abb-4a18-9c21-b738f42ac2ab,,,37.7010173,55.8552633,81,POINT (37.7010173 55.8552633)
